eliminator,team1,neutralvenue,balls_per_over,umpire2,umpire1,outcome,venue,date1,date2,method,date,team2,player_of_match,winner_wickets,winner_runs,reserve_umpire,season,city,winner,match_number,event,gender,match_referee,tv_umpire,toss_winner,toss_decision,matchId
,Royal Challengers Bangalore,,6,RE Koertzen,Asad Rauf,,M Chinnaswamy Stadium,,,,2008-04-18,Kolkata Knight Riders,BB McCullum,,140,VN Kulkarni,2007/08,Bangalore,Kolkata Knight Riders,1,Indian Premier League,male,J Srinath,AM Saheba,Royal Challengers Bangalore,field,335982
,Kings XI Punjab,,6,SL Shastri,MR Benson,,"Punjab Cricket Association Stadium, Mohali",,,,2008-04-19,Chennai Super Kings,MEK Hussey,,33,MSS Ranawat,2007/08,Chandigarh,Chennai Super Kings,2,Indian Premier League,male,S Venkataraghavan,RB Tiffin,Chennai Super Kings,bat,335983
,Delhi Daredevils,,6,GA Pratapkumar,Aleem Dar,,Feroz Shah Kotla,,,,2008-04-19,Rajasthan Royals,MF Maharoof,9,,,2007/08,Delhi,Delhi Daredevils,3,Indian Premier League,male,GR Viswanath,IL Howell,Rajasthan Royals,bat,335984
,Mumbai Indians,,6,DJ Harper,SJ Davis,,Wankhede Stadium,,,,2008-04-20,Royal Challengers Bangalore,MV Boucher,5,,SN Bandekar,2007/08,Mumbai,Royal Challengers Bangalore,5,Indian Premier League,male,J Srinath,AV Jayaprakash,Mumbai Indians,bat,335985
,Kolkata Knight Riders,,6,K Hariharan,BF Bowden,,Eden Gardens,,,,2008-04-20,Deccan Chargers,DJ Hussey,5,,F Gomes,2007/08,Kolkata,Kolkata Knight Riders,4,Indian Premier League,male,FM Engineer,Asad Rauf,Deccan Chargers,bat,335986
,Rajasthan Royals,,6,RB Tiffin,Aleem Dar,,Sawai Mansingh Stadium,,,,2008-04-21,Kings XI Punjab,SR Watson,6,,MSS Ranawat,2007/08,Jaipur,Rajasthan Royals,6,Indian Premier League,male,S Venkataraghavan,I Shivram,Kings XI Punjab,bat,335987
,Deccan Chargers,,6,AM Saheba,IL Howell,,"Rajiv Gandhi International Stadium, Uppal",,,,2008-04-22,Delhi Daredevils,V Sehwag,9,,C Shamshuddin,2007/08,Hyderabad,Delhi Daredevils,7,Indian Premier League,male,Talat Ali,MR Benson,Deccan Chargers,bat,335988
,Chennai Super Kings,,6,GA Pratapkumar,DJ Harper,,"MA Chidambaram Stadium, Chepauk",,,,2008-04-23,Mumbai Indians,ML Hayden,,6,S Ravi,2007/08,Chennai,Chennai Super Kings,8,Indian Premier League,male,FM Engineer,BF Bowden,Mumbai Indians,field,335989
,Deccan Chargers,,6,MR Benson,Asad Rauf,,"Rajiv Gandhi International Stadium, Uppal",,,,2008-04-24,Rajasthan Royals,YK Pathan,3,,C Shamshuddin,2007/08,Hyderabad,Rajasthan Royals,9,Indian Premier League,male,S Venkataraghavan,SL Shastri,Rajasthan Royals,field,335990
,Kings XI Punjab,,6,AM Saheba,Aleem Dar,,"Punjab Cricket Association Stadium, Mohali",,,,2008-04-25,Mumbai Indians,KC Sangakkara,,66,HS Sekhon,2007/08,Chandigarh,Kings XI Punjab,10,Indian Premier League,male,FM Engineer,RE Koertzen,Mumbai Indians,field,335991
