matchid,date,season,batting_team,bowling_team,batsman,runs,balls_faced,fours,sixes,strike_rate,avg_runs_last_5,avg_runs_last_10,avg_runs_at_venue,matches_at_venue,matches_played,career_avg_runs,career_avg_balls,boundary_rate,recent_form_indicator,experience_level_enc,venue_enc,city_enc,match_year,match_month
548346,2012-04-29,2012,Deccan Chargers,Mumbai Indians,A Ashish Reddy,10,10,0,1,100.0,0.0,0.0,0.0,0,0,0.0,0.0,0.1,0,0,9,0.14375,2012,4
548352,2012-05-04,2012,Deccan Chargers,Chennai Super Kings,A Ashish Reddy,3,3,0,0,100.0,10.0,10.0,0.0,0,1,10.0,10.0,0.0,0,0,14,0.08467465753424658,2012,5
548359,2012-05-08,2012,Deccan Chargers,Kings XI Punjab,A Ashish Reddy,8,8,1,0,100.0,6.5,6.5,0.0,0,2,6.5,6.5,0.125,0,0,15,0.08210616438356165,2012,5
548373,2012-05-18,2012,Deccan Chargers,Rajasthan Royals,A Ashish Reddy,10,4,2,0,250.0,7.0,7.0,8.0,1,3,7.0,7.0,0.5,0,0,15,0.08210616438356165,2012,5
548376,2012-05-20,2012,Deccan Chargers,Royal Challengers Bangalore,A Ashish Reddy,4,4,0,0,100.0,7.75,7.75,9.0,2,4,7.75,6.25,0.0,0,0,15,0.08210616438356165,2012,5
598000,2013-04-05,2013,Sunrisers Hyderabad,Pune Warriors,A Ashish Reddy,7,4,1,0,175.0,7.0,7.0,7.333333333333333,3,5,7.0,5.8,0.25,0,0,15,0.08210616438356165,2013,4
598004,2013-04-07,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,A Ashish Reddy,14,12,0,1,116.66666666666669,6.4,7.0,7.25,4,6,7.0,5.5,0.0833333333333333,0,0,15,0.08210616438356165,2013,4
598048,2013-04-09,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,A Ashish Reddy,3,4,0,0,75.0,8.6,8.0,0.0,0,7,8.0,6.428571428571429,0.0,1,0,6,0.08210616438356165,2013,4
598010,2013-04-12,2013,Sunrisers Hyderabad,Delhi Daredevils,A Ashish Reddy,16,9,2,0,177.77777777777777,7.6,7.375,0.0,0,8,7.375,6.125,0.2222222222222222,1,0,2,0.09469178082191781,2013,4
598013,2013-04-14,2013,Sunrisers Hyderabad,Kolkata Knight Riders,A Ashish Reddy,4,5,0,0,80.0,8.8,8.333333333333334,0.0,0,9,8.333333333333334,6.444444444444445,0.0,1,0,18,0.09683219178082192,2013,4
598018,2013-04-17,2013,Sunrisers Hyderabad,Pune Warriors,A Ashish Reddy,19,15,0,1,126.66666666666666,8.8,7.9,0.0,0,10,7.9,6.3,0.0666666666666666,1,0,9,0.048544520547945204,2013,4
598021,2013-04-19,2013,Sunrisers Hyderabad,Kings XI Punjab,A Ashish Reddy,7,7,1,0,100.0,11.2,8.8,8.6,5,11,8.909090909090908,7.090909090909091,0.1428571428571428,1,0,15,0.08210616438356165,2013,4
598030,2013-04-25,2013,Sunrisers Hyderabad,Chennai Super Kings,A Ashish Reddy,36,16,2,3,225.0,9.8,9.2,3.0,1,12,8.75,7.083333333333333,0.3125,1,0,14,0.08467465753424658,2013,4
598032,2013-04-27,2013,Sunrisers Hyderabad,Rajasthan Royals,A Ashish Reddy,14,11,1,0,127.27272727272728,16.4,12.0,0.0,0,13,10.846153846153848,7.769230769230769,0.0909090909090909,1,0,12,0.05813356164383562,2013,4
598044,2013-05-04,2013,Sunrisers Hyderabad,Delhi Daredevils,A Ashish Reddy,5,6,1,0,83.33333333333334,16.0,12.4,8.333333333333334,6,14,11.071428571428571,8.0,0.1666666666666666,1,0,15,0.08210616438356165,2013,5
829727,2015-04-16,2015,Sunrisers Hyderabad,Rajasthan Royals,A Ashish Reddy,13,9,0,1,144.44444444444443,16.2,12.5,0.0,0,15,10.666666666666666,7.866666666666666,0.1111111111111111,1,0,0,0.017465753424657535,2015,4
829731,2015-04-18,2015,Sunrisers Hyderabad,Delhi Daredevils,A Ashish Reddy,15,8,1,1,187.5,15.0,13.1,13.0,1,16,10.8125,7.9375,0.25,1,0,0,0.017465753424657535,2015,4
829759,2015-04-27,2015,Sunrisers Hyderabad,Kings XI Punjab,A Ashish Reddy,22,8,1,2,275.0,16.6,13.2,0.0,0,17,11.058823529411764,7.9411764705882355,0.375,1,0,11,0.0699486301369863,2015,4
829773,2015-05-02,2015,Sunrisers Hyderabad,Chennai Super Kings,A Ashish Reddy,6,6,1,0,100.0,13.8,15.1,7.857142857142857,7,18,11.666666666666666,7.944444444444445,0.1666666666666666,1,0,15,0.08210616438356165,2015,5
829815,2015-05-17,2015,Sunrisers Hyderabad,Mumbai Indians,A Ashish Reddy,17,15,0,1,113.33333333333331,12.2,14.1,7.625,8,19,11.36842105263158,7.842105263157895,0.0666666666666666,1,0,15,0.08210616438356165,2015,5
980907,2016-04-12,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,A Ashish Reddy,32,18,2,3,177.77777777777777,14.6,15.4,3.0,1,20,11.65,8.2,0.2777777777777778,1,0,6,0.08210616438356165,2016,4
980915,2016-04-16,2016,Sunrisers Hyderabad,Kolkata Knight Riders,A Ashish Reddy,13,8,0,1,162.5,18.4,16.7,8.666666666666666,9,21,12.61904761904762,8.666666666666666,0.125,1,1,15,0.08210616438356165,2016,4
980953,2016-04-30,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,A Ashish Reddy,2,3,0,0,66.66666666666666,18.0,17.3,9.1,10,22,12.636363636363637,8.636363636363637,0.0,1,1,15,0.08210616438356165,2016,4
548373,2012-05-18,2012,Rajasthan Royals,Deccan Chargers,A Chandila,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,15,0.08210616438356165,2012,5
