match_id,date,player,team,opponent,venue,city,season,runs_conceded,balls_bowled,wickets,innings,economy,overs_bowled,bowling_first,target_wickets,target_runs_conceded,target_economy,next_opponent,next_venue,wickets_last_3,wickets_last_5,wickets_last_10,runs_conceded_last_3,runs_conceded_last_5,runs_conceded_last_10,economy_last_3,economy_last_5,economy_last_10,balls_bowled_last_3,balls_bowled_last_5,balls_bowled_last_10,career_wickets,career_matches,career_avg_wickets,career_runs_conceded,career_balls_bowled,career_economy,career_bowling_avg,venue_wickets_avg,venue_economy_avg,venue_matches_played,venue_familiar,vs_opponent_wickets_avg,vs_opponent_economy_avg,vs_opponent_matches,is_home_match,days_since_last_match,season_matches,form_indicator,performance_trend,wickets_std_last_10,consistency_score,wicket_taking_rate,momentum_score,experience_level
548341,2012-04-26,A Ashish Reddy,Deccan Chargers,Pune Warriors,Subrata Roy Sahara Stadium,Pune,2012,32,24,2,2,8.0,4.0,0,1.0,11.0,5.076923076923077,Mumbai Indians,Wankhede Stadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,rookie
548346,2012-04-29,A Ashish Reddy,Deccan Chargers,Mumbai Indians,Wankhede Stadium,Mumbai,2012,11,13,1,2,5.076923076923077,2.1666666666666665,0,1.0,32.0,10.666666666666666,Pune Warriors,Barabati Stadium,2.0,2.0,2.0,32.0,32.0,32.0,8.0,8.0,8.0,24.0,24.0,24.0,2.0,1,2.0,32.0,24.0,8.0,16.0,0.0,0.0,0.0,0,1.0,8.0,1.0,0,3.0,1,0.0,0.0,0.0,1.0,0.5,2.0,rookie
548348,2012-05-01,A Ashish Reddy,Deccan Chargers,Pune Warriors,Barabati Stadium,Cuttack,2012,32,18,1,2,10.666666666666666,3.0,0,1.0,16.0,8.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",1.5,1.5,1.5,21.5,21.5,21.5,6.538461538461538,6.538461538461538,6.538461538461538,18.5,18.5,18.5,3.0,2,1.5,43.0,37.0,6.972972972972972,14.333333333333334,0.0,5.0,1.0,0,0.5,15.25,2.0,0,2.0,2,0.0,0.0,0.0,1.0,0.4807692307692308,1.5,rookie
548352,2012-05-04,A Ashish Reddy,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012,16,12,1,1,8.0,2.0,1,1.0,36.0,9.0,Royal Challengers Bangalore,M Chinnaswamy Stadium,1.3333333333333333,1.3333333333333333,1.3333333333333333,25.0,25.0,25.0,7.914529914529915,7.914529914529915,7.914529914529915,18.33333333333333,18.33333333333333,18.33333333333333,4.0,3,1.3333333333333333,75.0,55.0,8.181818181818182,18.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.0,3,0.0,0.0,0.5773502691896257,0.5669872981077807,0.43162393162393164,1.3333333333333333,rookie
548356,2012-05-06,A Ashish Reddy,Deccan Chargers,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2012,36,24,1,2,9.0,4.0,0,2.0,39.0,9.75,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",1.0,1.25,1.25,19.666666666666668,22.75,22.75,7.914529914529915,7.935897435897436,7.935897435897436,14.333333333333334,16.75,16.75,5.0,4,1.25,91.0,67.0,8.149253731343283,18.2,0.0,0.0,0.0,0,0.0,14.5,1.0,0,2.0,4,0.0,-0.25,0.5,0.6,0.44871794871794873,1.125,rookie
548359,2012-05-08,A Ashish Reddy,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012,39,24,2,1,9.75,4.0,1,0.0,29.0,14.5,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",1.0,1.2,1.2,28.0,25.4,25.4,9.22222222222222,8.148717948717948,8.148717948717948,18.0,18.2,18.2,6.0,5,1.2,127.0,91.0,8.373626373626372,21.166666666666668,1.0,9.0,1.0,0,0.0,0.0,0.0,1,2.0,5,0.0,-0.1999999999999999,0.4472135954999579,0.6273220037500351,0.40897435897435896,1.1,rookie
548329,2012-05-10,A Ashish Reddy,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012,29,12,0,2,14.5,2.0,0,0.0,17.0,8.5,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",1.3333333333333333,1.2,1.3333333333333333,30.33333333333333,26.8,27.666666666666668,8.916666666666666,8.49871794871795,8.415598290598291,20.0,18.2,19.166666666666668,8.0,6,1.3333333333333333,166.0,115.0,8.660869565217393,20.75,0.5,10.5,2.0,0,0.0,0.0,0.0,1,2.0,6,-0.1333333333333333,0.0,0.5163977794943223,0.6127016653792583,0.40897435897435896,1.2933333333333332,rookie
548373,2012-05-18,A Ashish Reddy,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012,17,12,0,1,8.5,2.0,1,3.0,25.0,6.25,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",1.0,1.0,1.1428571428571428,34.666666666666664,30.4,27.857142857142858,11.083333333333334,10.383333333333336,9.284798534798536,20.0,18.0,18.142857142857142,8.0,7,1.1428571428571428,195.0,127.0,9.21259842519685,24.375,0.6666666666666666,10.666666666666666,3.0,1,1.0,7.5,1.0,1,8.0,7,-0.1428571428571428,-0.1428571428571428,0.6900655593423543,0.39619263557544,0.31666666666666665,1.0285714285714287,rookie
548376,2012-05-20,A Ashish Reddy,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012,25,24,3,2,6.25,4.0,0,1.0,21.0,10.5,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",0.6666666666666666,0.8,1.0,28.33333333333333,27.4,26.5,10.916666666666666,9.95,9.186698717948715,16.0,16.8,17.375,8.0,8,1.0,212.0,139.0,9.151079136690647,26.5,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2.0,8,-0.1999999999999999,-0.3333333333333333,0.7559289460184544,0.2440710539815456,0.25,0.7733333333333332,rookie
598000,2013-04-05,A Ashish Reddy,Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013,21,12,1,2,10.5,2.0,0,1.0,7.0,7.0,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",1.0,1.2,1.2222222222222223,23.666666666666668,29.2,26.33333333333333,9.75,9.6,8.86039886039886,16.0,19.2,18.11111111111111,11.0,9,1.2222222222222223,237.0,163.0,8.723926380368098,21.545454545454547,1.0,8.0,1.0,0,0.0,0.0,0.0,1,90.0,0,-0.0222222222222223,-0.2222222222222223,0.97182531580755,0.2048701961574591,0.3,1.1044444444444443,rookie
