matchid,date,season,bowling_team,batting_team,bowler,runs_conceded,balls_bowled,wicket,wides,no_balls,overs,economy,avg_wkts_last_5,avg_wkts_last_10,avg_wkts_at_venue,matches_at_venue,matches_played,career_avg_wickets,career_avg_runs_conceded,career_avg_overs,discipline_score,recent_vs_career_form,venue_enc,city_enc,match_year,match_month
548341,2012-04-26,2012,Deccan Chargers,Pune Warriors,A Ashish Reddy,32,24,2,0,0,4.0,8.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,9,0.048152536895400194,2012,4
548346,2012-04-29,2012,Deccan Chargers,Mumbai Indians,A Ashish Reddy,10,13,1,1,0,2.1666666666666665,4.615384615384616,2.0,2.0,0.0,0,1,2.0,32.0,4.0,0.0769230769230769,0,9,0.1386405256921254,2012,4
548348,2012-05-01,2012,Deccan Chargers,Pune Warriors,A Ashish Reddy,31,18,1,0,1,3.0,10.333333333333334,1.5,1.5,0.0,0,2,1.5,21.0,3.083333333333333,0.0555555555555555,0,10,0.009264246472045675,2012,5
548352,2012-05-04,2012,Deccan Chargers,Chennai Super Kings,A Ashish Reddy,15,12,1,0,1,2.0,7.5,1.3333333333333333,1.3333333333333333,0.0,0,3,1.3333333333333333,24.33333333333333,3.055555555555556,0.0833333333333333,0,14,0.08456318000646343,2012,5
548356,2012-05-06,2012,Deccan Chargers,Royal Challengers Bangalore,A Ashish Reddy,35,24,1,1,0,4.0,8.75,1.25,1.25,0.0,0,4,1.25,22.0,2.7916666666666665,0.0416666666666666,0,6,0.07960788538188086,2012,5
548359,2012-05-08,2012,Deccan Chargers,Kings XI Punjab,A Ashish Reddy,36,24,2,3,0,4.0,9.0,1.2,1.2,0.0,0,5,1.2,24.6,3.033333333333333,0.125,0,15,0.08197780889798556,2012,5
548329,2012-05-10,2012,Deccan Chargers,Delhi Daredevils,A Ashish Reddy,29,12,0,0,0,2.0,14.5,1.2,1.3333333333333333,2.0,1,6,1.3333333333333333,26.5,3.194444444444444,0.0,0,15,0.08197780889798556,2012,5
548373,2012-05-18,2012,Deccan Chargers,Rajasthan Royals,A Ashish Reddy,17,12,0,0,0,2.0,8.5,1.0,1.1428571428571428,1.0,2,7,1.1428571428571428,26.857142857142858,3.0238095238095237,0.0,0,15,0.08197780889798556,2012,5
548376,2012-05-20,2012,Deccan Chargers,Royal Challengers Bangalore,A Ashish Reddy,24,24,3,1,0,4.0,6.0,0.8,1.0,0.6666666666666666,3,8,1.0,25.625,2.895833333333333,0.0416666666666666,0,15,0.08197780889798556,2012,5
598000,2013-04-05,2013,Sunrisers Hyderabad,Pune Warriors,A Ashish Reddy,21,12,1,0,0,2.0,10.5,1.2,1.2222222222222223,1.25,4,9,1.2222222222222223,25.444444444444443,3.018518518518518,0.0,0,15,0.08197780889798556,2013,4
598004,2013-04-07,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,A Ashish Reddy,7,6,1,0,0,1.0,7.0,1.2,1.2,1.2,5,10,1.2,25.0,2.9166666666666665,0.0,0,15,0.08197780889798556,2013,4
598048,2013-04-09,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,A Ashish Reddy,12,6,0,0,0,1.0,12.0,1.0,1.1,1.0,1,11,1.181818181818182,23.363636363636363,2.742424242424242,0.0,0,6,0.07960788538188086,2013,4
