match_id,batter,venue,batting_team,bowling_team,date,runs,recent_form,venue_avg,opponent_avg,career_avg,target_runs
548376,a ashish reddy,"rajiv gandhi international stadium, uppal",deccan chargers,royal challengers bangalore,2012-05-20,4,7.0,8.454545454545455,11.0,7.0,7.0
598000,a ashish reddy,"rajiv gandhi international stadium, uppal",sunrisers hyderabad,pune warriors,2013-04-05,7,6.4,8.454545454545455,13.0,7.0,14.0
598004,a ashish reddy,"rajiv gandhi international stadium, uppal",sunrisers hyderabad,royal challengers bangalore,2013-04-07,14,8.6,8.454545454545455,11.0,8.0,3.0
598048,a ashish reddy,m chinnaswamy stadium,sunrisers hyderabad,royal challengers bangalore,2013-04-09,3,7.6,17.5,11.0,7.375,16.0
598010,a ashish reddy,feroz shah kotla,sunrisers hyderabad,delhi daredevils,2013-04-12,16,8.8,16.0,12.0,8.333333333333334,4.0
598013,a ashish reddy,eden gardens,sunrisers hyderabad,kolkata knight riders,2013-04-14,4,8.8,4.0,8.5,7.9,19.0
598018,a ashish reddy,maharashtra cricket association stadium,sunrisers hyderabad,pune warriors,2013-04-17,19,11.2,19.0,13.0,8.909090909090908,7.0
598021,a ashish reddy,"rajiv gandhi international stadium, uppal",sunrisers hyderabad,kings xi punjab,2013-04-19,7,9.8,8.454545454545455,12.333333333333334,8.75,36.0
598030,a ashish reddy,"ma chidambaram stadium, chepauk",sunrisers hyderabad,chennai super kings,2013-04-25,36,16.4,19.5,15.0,10.846153846153847,14.0
598032,a ashish reddy,sawai mansingh stadium,sunrisers hyderabad,rajasthan royals,2013-04-27,14,16.0,14.0,12.333333333333334,11.071428571428571,5.0
598044,a ashish reddy,"rajiv gandhi international stadium, uppal",sunrisers hyderabad,delhi daredevils,2013-05-04,5,16.2,8.454545454545455,12.0,10.666666666666666,13.0
829727,a ashish reddy,dr. y.s. rajasekhara reddy aca-vdca cricket stadium,sunrisers hyderabad,rajasthan royals,2015-04-16,13,15.0,14.0,12.333333333333334,10.8125,15.0
829731,a ashish reddy,dr. y.s. rajasekhara reddy aca-vdca cricket stadium,sunrisers hyderabad,delhi daredevils,2015-04-18,15,16.6,14.0,12.0,11.058823529411764,22.0
829759,a ashish reddy,"punjab cricket association stadium, mohali",sunrisers hyderabad,kings xi punjab,2015-04-27,22,13.8,22.0,12.333333333333334,11.666666666666666,6.0
829773,a ashish reddy,"rajiv gandhi international stadium, uppal",sunrisers hyderabad,chennai super kings,2015-05-02,6,12.2,8.454545454545455,15.0,11.368421052631579,17.0
829815,a ashish reddy,"rajiv gandhi international stadium, uppal",sunrisers hyderabad,mumbai indians,2015-05-17,17,14.6,8.454545454545455,13.5,11.65,32.0
980907,a ashish reddy,m chinnaswamy stadium,sunrisers hyderabad,royal challengers bangalore,2016-04-12,32,18.4,17.5,11.0,12.619047619047619,13.0
980915,a ashish reddy,"rajiv gandhi international stadium, uppal",sunrisers hyderabad,kolkata knight riders,2016-04-16,13,18.0,8.454545454545455,8.5,12.636363636363637,2.0
1304066,a badoni,"wankhede stadium, mumbai",lucknow super giants,rajasthan royals,2022-04-10,5,21.4,23.75,5.0,21.4,13.0
1304077,a badoni,"dr dy patil sports academy, mumbai",lucknow super giants,royal challengers bangalore,2022-04-19,13,13.2,14.0,15.666666666666666,20.0,14.0
1304083,a badoni,"wankhede stadium, mumbai",lucknow super giants,mumbai indians,2022-04-24,14,12.2,23.75,10.75,19.142857142857142,4.0
1304088,a badoni,"maharashtra cricket association stadium, pune",lucknow super giants,punjab kings,2022-04-29,4,9.2,9.0,15.0,17.25,15.0
1304099,a badoni,"maharashtra cricket association stadium, pune",lucknow super giants,kolkata knight riders,2022-05-07,15,10.2,9.0,21.0,17.0,8.0
1304103,a badoni,"maharashtra cricket association stadium, pune",lucknow super giants,gujarat titans,2022-05-10,8,10.8,9.0,22.2,16.1,0.0
1304109,a badoni,"brabourne stadium, mumbai",lucknow super giants,rajasthan royals,2022-05-15,0,8.2,9.5,5.0,14.636363636363637,18.0
