match_id,match_date,venue,batsman,batting_team,bowling_team,runs_scored,balls_faced,fours,sixes,strike_rate,prev_10_avg_runs,career_avg_runs,venue_avg_runs,opponent_avg_runs,bowler_avg_runs_conceded
548346,2012-04-29,Wankhede Stadium,A Ashish Reddy,Deccan Chargers,Mumbai Indians,10,10,0,1,100.0,0.0,12.173913043478262,10.0,13.5,0.0
548352,2012-05-04,"MA Chidambaram Stadium, Chepauk",A Ashish Reddy,Deccan Chargers,Chennai Super Kings,3,3,0,0,100.0,10.0,12.173913043478262,19.5,15.0,0.0
548359,2012-05-08,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Deccan Chargers,Kings XI Punjab,8,8,1,0,100.0,6.5,12.173913043478262,8.454545454545455,12.333333333333334,0.0
548373,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Deccan Chargers,Rajasthan Royals,10,4,2,0,250.0,7.0,12.173913043478262,8.454545454545455,12.333333333333334,0.0
548376,2012-05-20,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Deccan Chargers,Royal Challengers Bangalore,4,4,0,0,100.0,7.75,12.173913043478262,8.454545454545455,11.0,0.0
598000,2013-04-05,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Sunrisers Hyderabad,Pune Warriors,7,4,1,0,175.0,7.0,12.173913043478262,8.454545454545455,13.0,0.0
598004,2013-04-07,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,14,12,0,1,116.66666666666669,7.0,12.173913043478262,8.454545454545455,11.0,0.0
598048,2013-04-09,M Chinnaswamy Stadium,A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,3,4,0,0,75.0,8.0,12.173913043478262,17.5,11.0,0.0
598010,2013-04-12,Feroz Shah Kotla,A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,16,9,2,0,177.77777777777777,7.375,12.173913043478262,16.0,12.0,0.0
598013,2013-04-14,Eden Gardens,A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,4,5,0,0,80.0,8.333333333333334,12.173913043478262,4.0,8.5,0.0
598018,2013-04-17,Maharashtra Cricket Association Stadium,A Ashish Reddy,Sunrisers Hyderabad,Pune Warriors,19,15,0,1,126.66666666666666,7.9,12.173913043478262,19.0,13.0,0.0
598021,2013-04-19,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Sunrisers Hyderabad,Kings XI Punjab,7,7,1,0,100.0,8.8,12.173913043478262,8.454545454545455,12.333333333333334,0.0
598030,2013-04-25,"MA Chidambaram Stadium, Chepauk",A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,36,16,2,3,225.0,9.2,12.173913043478262,19.5,15.0,0.0
598032,2013-04-27,Sawai Mansingh Stadium,A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,14,11,1,0,127.27272727272728,12.0,12.173913043478262,14.0,12.333333333333334,0.0
598044,2013-05-04,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,5,6,1,0,83.33333333333334,12.4,12.173913043478262,8.454545454545455,12.0,0.0
829727,2015-04-16,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,13,9,0,1,144.44444444444443,12.5,12.173913043478262,14.0,12.333333333333334,0.0
829731,2015-04-18,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,15,8,1,1,187.5,13.1,12.173913043478262,14.0,12.0,0.0
829759,2015-04-27,"Punjab Cricket Association Stadium, Mohali",A Ashish Reddy,Sunrisers Hyderabad,Kings XI Punjab,22,8,1,2,275.0,13.2,12.173913043478262,22.0,12.333333333333334,0.0
829773,2015-05-02,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,6,6,1,0,100.0,15.1,12.173913043478262,8.454545454545455,15.0,0.0
829815,2015-05-17,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Sunrisers Hyderabad,Mumbai Indians,17,15,0,1,113.33333333333331,14.1,12.173913043478262,8.454545454545455,13.5,0.0
980907,2016-04-12,M Chinnaswamy Stadium,A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,32,18,2,3,177.77777777777777,15.4,12.173913043478262,17.5,11.0,0.0
980915,2016-04-16,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,13,8,0,1,162.5,16.7,12.173913043478262,8.454545454545455,8.5,0.0
980953,2016-04-30,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,2,3,0,0,66.66666666666666,17.3,12.173913043478262,8.454545454545455,11.0,0.0
1304050,2022-03-28,"Wankhede Stadium, Mumbai",A Badoni,Lucknow Super Giants,Gujarat Titans,54,41,4,3,131.70731707317074,0.0,20.934782608695652,26.0,23.166666666666668,0.0
1304053,2022-03-31,"Brabourne Stadium, Mumbai",A Badoni,Lucknow Super Giants,Chennai Super Kings,19,9,0,2,211.11111111111111,54.0,20.934782608695652,9.5,30.75,0.0
1304058,2022-04-04,"Dr DY Patil Sports Academy, Mumbai",A Badoni,Lucknow Super Giants,Sunrisers Hyderabad,19,12,3,0,158.33333333333331,36.5,20.934782608695652,14.0,20.75,0.0
1304061,2022-04-07,"Dr DY Patil Sports Academy, Mumbai",A Badoni,Lucknow Super Giants,Delhi Capitals,10,3,1,1,333.33333333333337,30.666666666666668,20.934782608695652,14.0,21.5,0.0
