match_id,match_date,venue,bowler,bowling_team,batting_team,runs_conceded,legal_balls,wickets,overs_bowled,economy,prev_10_avg_wkts,career_avg_wkts,venue_avg_wkts,opponent_avg_wkts,bowler_avg_wkts
548341,2012-04-26,Subrata Roy Sahara Stadium,A Ashish Reddy,Deccan Chargers,Pune Warriors,32,24,2,4.0,8.0,0.0,0.9,2.0,1.3333333333333333,0.9
548346,2012-04-29,Wankhede Stadium,A Ashish Reddy,Deccan Chargers,Mumbai Indians,11,13,1,2.1666666666666665,5.0769230769230775,2.0,0.9,1.0,1.0,0.9
548348,2012-05-01,Barabati Stadium,A Ashish Reddy,Deccan Chargers,Pune Warriors,32,18,1,3.0,10.666666666666666,1.5,0.9,1.0,1.3333333333333333,0.9
548352,2012-05-04,"MA Chidambaram Stadium, Chepauk",A Ashish Reddy,Deccan Chargers,Chennai Super Kings,16,12,1,2.0,8.0,1.3333333333333333,0.9,0.5,0.6666666666666666,0.9
548356,2012-05-06,M Chinnaswamy Stadium,A Ashish Reddy,Deccan Chargers,Royal Challengers Bangalore,36,24,1,4.0,9.0,1.25,0.9,0.5,1.0,0.9
548359,2012-05-08,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Deccan Chargers,Kings XI Punjab,40,24,2,4.0,10.0,1.2,0.9,1.125,2.0,0.9
548329,2012-05-10,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Deccan Chargers,Delhi Daredevils,29,12,0,2.0,14.5,1.3333333333333333,0.9,1.125,0.5,0.9
548373,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Deccan Chargers,Rajasthan Royals,17,12,0,2.0,8.5,1.1428571428571428,0.9,1.125,0.0,0.9
548376,2012-05-20,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Deccan Chargers,Royal Challengers Bangalore,25,24,3,4.0,6.25,1.0,0.9,1.125,1.0,0.9
598000,2013-04-05,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Sunrisers Hyderabad,Pune Warriors,21,12,1,2.0,10.5,1.2222222222222223,0.9,1.125,1.3333333333333333,0.9
598004,2013-04-07,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,7,6,1,1.0,7.0,1.2,0.9,1.125,1.0,0.9
598048,2013-04-09,M Chinnaswamy Stadium,A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,13,6,0,1.0,13.0,1.1,0.9,0.5,1.0,0.9
598013,2013-04-14,Eden Gardens,A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,15,12,1,2.0,7.5,1.0,0.9,1.0,1.0,0.9
598030,2013-04-25,"MA Chidambaram Stadium, Chepauk",A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,15,4,0,0.6666666666666666,22.5,1.0,0.9,0.5,0.6666666666666666,0.9
829719,2015-04-13,M Chinnaswamy Stadium,A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,11,6,1,1.0,11.0,0.9,0.9,0.5,1.0,0.9
829727,2015-04-16,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,5,6,0,1.0,5.0,0.9,0.9,0.5,0.0,0.9
829731,2015-04-18,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,16,12,1,2.0,8.0,0.7,0.9,0.5,0.5,0.9
829773,2015-05-02,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,19,12,1,2.0,9.5,0.8,0.9,1.125,0.6666666666666666,0.9
980907,2016-04-12,M Chinnaswamy Stadium,A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,26,11,0,1.8333333333333333,14.181818181818182,0.9,0.9,0.5,1.0,0.9
980915,2016-04-16,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,14,12,1,2.0,7.0,0.6,0.9,1.125,1.0,0.9
1304083,2022-04-24,"Wankhede Stadium, Mumbai",A Badoni,Lucknow Super Giants,Mumbai Indians,6,6,1,1.0,6.0,0.0,0.5714285714285714,1.0,1.0,0.5714285714285714
