match_id,date,batsman,venue,batting_team,bowling_team,runs_scored,balls_faced,strike_rate,avg_runs_last_3,avg_runs_last_5,venue_avg_runs,career_runs,career_avg,next_match_runs
346,2012-04-29,A Ashish Reddy,Wankhede Stadium,Deccan Chargers,Mumbai Indians,10,10,100.0,10.0,10.0,10.0,280,12.173913043478262,3.0
352,2012-05-04,A Ashish Reddy,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Chennai Super Kings,3,3,100.0,6.5,6.5,19.5,280,12.173913043478262,8.0
359,2012-05-08,A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,8,8,100.0,7.0,7.0,8.454545454545455,280,12.173913043478262,10.0
373,2012-05-18,A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,10,4,250.0,7.0,7.75,8.454545454545455,280,12.173913043478262,4.0
376,2012-05-20,A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,4,5,80.0,7.333333333333333,7.0,8.454545454545455,280,12.173913043478262,7.0
384,2013-04-05,A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Pune Warriors,7,4,175.0,7.0,6.4,8.454545454545455,280,12.173913043478262,14.0
388,2013-04-07,A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,14,12,116.66666666666667,8.333333333333334,8.6,8.454545454545455,280,12.173913043478262,3.0
432,2013-04-09,A Ashish Reddy,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,3,4,75.0,8.0,7.6,17.5,280,12.173913043478262,16.0
394,2013-04-12,A Ashish Reddy,Feroz Shah Kotla,Sunrisers Hyderabad,Delhi Daredevils,16,9,177.77777777777777,11.0,8.8,16.0,280,12.173913043478262,4.0
397,2013-04-14,A Ashish Reddy,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,4,5,80.0,7.666666666666667,8.8,4.0,280,12.173913043478262,19.0
402,2013-04-17,A Ashish Reddy,Subrata Roy Sahara Stadium,Sunrisers Hyderabad,Pune Warriors,19,15,126.66666666666666,13.0,11.2,19.0,280,12.173913043478262,7.0
405,2013-04-19,A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,7,7,100.0,10.0,9.8,8.454545454545455,280,12.173913043478262,36.0
414,2013-04-25,A Ashish Reddy,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,Chennai Super Kings,36,16,225.0,20.666666666666668,16.4,19.5,280,12.173913043478262,14.0
416,2013-04-27,A Ashish Reddy,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,14,11,127.27272727272727,19.0,16.0,14.0,280,12.173913043478262,5.0
428,2013-05-04,A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,5,7,71.42857142857143,18.333333333333332,16.2,8.454545454545455,280,12.173913043478262,13.0
529,2015-04-16,A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,13,9,144.44444444444443,10.666666666666666,15.0,14.0,280,12.173913043478262,15.0
531,2015-04-18,A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Delhi Daredevils,15,8,187.5,11.0,16.6,14.0,280,12.173913043478262,22.0
544,2015-04-27,A Ashish Reddy,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab,22,8,275.0,16.666666666666668,13.8,22.0,280,12.173913043478262,6.0
551,2015-05-02,A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Chennai Super Kings,6,6,100.0,14.333333333333334,12.2,8.454545454545455,280,12.173913043478262,17.0
572,2015-05-17,A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,17,15,113.33333333333333,15.0,14.6,8.454545454545455,280,12.173913043478262,32.0
580,2016-04-12,A Ashish Reddy,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,32,18,177.77777777777777,18.333333333333332,18.4,17.5,280,12.173913043478262,13.0
584,2016-04-16,A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,13,9,144.44444444444443,20.666666666666668,18.0,8.454545454545455,280,12.173913043478262,2.0
373,2012-05-18,A Chandila,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Deccan Chargers,0,1,0.0,0.0,0.0,0.0,4,2.0,4.0
88,2008-05-08,A Chopra,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,2,5,40.0,2.0,2.0,5.666666666666667,53,8.833333333333334,24.0
92,2008-05-11,A Chopra,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Deccan Chargers,24,25,96.0,13.0,13.0,24.0,53,8.833333333333334,13.0
95,2008-05-13,A Chopra,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,13,18,72.22222222222221,13.0,13.0,5.666666666666667,53,8.833333333333334,1.0
99,2008-05-16,A Chopra,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,1,4,25.0,12.666666666666666,10.0,1.0,53,8.833333333333334,2.0
112,2008-05-25,A Chopra,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,2,3,66.66666666666666,5.333333333333333,8.4,5.666666666666667,53,8.833333333333334,11.0
1,2017-04-05,A Choudhary,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad,6,2,300.0,6.0,6.0,6.0,25,8.333333333333334,15.0
30,2017-04-27,A Choudhary,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,15,12,125.0,10.5,10.5,9.5,25,8.333333333333334,4.0
118,2009-04-18,A Flintoff,Newlands,Chennai Super Kings,Mumbai Indians,24,25,96.0,24.0,24.0,24.0,62,20.666666666666668,22.0
122,2009-04-20,A Flintoff,St George's Park,Chennai Super Kings,Royal Challengers Bangalore,22,14,157.14285714285714,23.0,23.0,22.0,62,20.666666666666668,16.0
84,2008-05-05,A Kumble,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,3,7,42.857142857142854,3.0,3.0,1.6666666666666667,35,2.3333333333333335,0.0
94,2008-05-12,A Kumble,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab,0,1,0.0,1.5,1.5,0.0,35,2.3333333333333335,8.0
101,2008-05-17,A Kumble,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,8,8,100.0,3.6666666666666665,3.6666666666666665,8.0,35,2.3333333333333335,2.0
107,2008-05-21,A Kumble,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings,2,1,200.0,3.3333333333333335,3.25,2.0,35,2.3333333333333335,1.0
122,2009-04-20,A Kumble,St George's Park,Royal Challengers Bangalore,Chennai Super Kings,1,5,20.0,3.6666666666666665,2.8,4.0,35,2.3333333333333335,1.0
124,2009-04-22,A Kumble,Newlands,Royal Challengers Bangalore,Deccan Chargers,1,1,100.0,1.3333333333333333,2.4,1.0,35,2.3333333333333335,5.0
127,2009-04-24,A Kumble,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,5,3,166.66666666666669,2.3333333333333335,3.4,3.0,35,2.3333333333333335,1.0
139,2009-05-01,A Kumble,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,1,4,25.0,2.3333333333333335,2.0,3.0,35,2.3333333333333335,7.0
153,2009-05-10,A Kumble,St George's Park,Royal Challengers Bangalore,Mumbai Indians,7,6,116.66666666666667,4.333333333333333,3.0,4.0,35,2.3333333333333335,1.0
174,2009-05-24,A Kumble,New Wanderers Stadium,Royal Challengers Bangalore,Deccan Chargers,1,1,100.0,3.0,3.0,1.0,35,2.3333333333333335,1.0
197,2010-03-25,A Kumble,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,1,1,100.0,3.0,3.0,1.6666666666666667,35,2.3333333333333335,1.0
209,2010-04-04,A Kumble,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils,1,1,100.0,1.0,2.2,1.0,35,2.3333333333333335,2.0
220,2010-04-12,A Kumble,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,Deccan Chargers,2,4,50.0,1.3333333333333333,2.4,2.0,35,2.3333333333333335,1.0
226,2010-04-17,A Kumble,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,1,3,33.33333333333333,1.3333333333333333,1.2,1.6666666666666667,35,2.3333333333333335,1.0
93,2008-05-11,A Mishra,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals,4,5,80.0,4.0,4.0,12.5,340,6.938775510204081,31.0
95,2008-05-13,A Mishra,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders,31,32,96.875,17.5,17.5,10.2,340,6.938775510204081,2.0
115,2008-05-30,A Mishra,Wankhede Stadium,Delhi Daredevils,Rajasthan Royals,2,5,40.0,12.333333333333334,12.333333333333334,7.0,340,6.938775510204081,0.0
133,2009-04-28,A Mishra,SuperSport Park,Delhi Daredevils,Rajasthan Royals,0,4,0.0,11.0,9.25,4.333333333333333,340,6.938775510204081,11.0
141,2009-05-02,A Mishra,New Wanderers Stadium,Delhi Daredevils,Chennai Super Kings,11,8,137.5,4.333333333333333,9.6,11.0,340,6.938775510204081,2.0
158,2009-05-13,A Mishra,Kingsmead,Delhi Daredevils,Deccan Chargers,2,3,66.66666666666666,4.333333333333333,9.2,2.0,340,6.938775510204081,13.0
170,2009-05-21,A Mishra,SuperSport Park,Delhi Daredevils,Mumbai Indians,13,4,325.0,8.666666666666666,5.6,4.333333333333333,340,6.938775510204081,0.0
172,2009-05-22,A Mishra,SuperSport Park,Delhi Daredevils,Deccan Chargers,0,1,0.0,5.0,5.2,4.333333333333333,340,6.938775510204081,3.0
183,2010-03-17,A Mishra,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,3,5,60.0,5.333333333333333,5.8,7.0,340,6.938775510204081,6.0
185,2010-03-19,A Mishra,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,6,3,200.0,3.0,4.8,7.0,340,6.938775510204081,0.0
189,2010-03-21,A Mishra,Barabati Stadium,Delhi Daredevils,Deccan Chargers,0,1,0.0,3.0,4.4,0.5,340,6.938775510204081,4.0
213,2010-04-07,A Mishra,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders,4,6,66.66666666666666,3.3333333333333335,2.6,10.2,340,6.938775510204081,10.0
218,2010-04-11,A Mishra,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,10,12,83.33333333333334,4.666666666666667,4.6,7.0,340,6.938775510204081,12.0
221,2010-04-13,A Mishra,Brabourne Stadium,Delhi Daredevils,Mumbai Indians,12,17,70.58823529411765,8.666666666666666,6.4,6.5,340,6.938775510204081,4.0
229,2010-04-18,A Mishra,Feroz Shah Kotla,Delhi Daredevils,Deccan Chargers,4,10,40.0,8.666666666666666,6.0,7.0,340,6.938775510204081,2.0
236,2011-04-09,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,2,2,100.0,6.0,6.4,7.142857142857143,340,6.938775510204081,12.0
240,2011-04-11,A Mishra,Eden Gardens,Deccan Chargers,Kolkata Knight Riders,12,6,200.0,6.0,8.0,10.2,340,6.938775510204081,0.0
249,2011-04-16,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,0,1,0.0,4.666666666666667,6.0,7.142857142857143,340,6.938775510204081,25.0
260,2011-04-24,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Mumbai Indians,25,19,131.57894736842107,12.333333333333334,8.6,7.142857142857143,340,6.938775510204081,0.0
