matchid,date,batsman,batting_team,bowling_team,balls_faced,fours,sixes,dismissed,strike_rate,career_matches,career_avg_runs,form_runs_last_5,form_runs_last_10,avg_runs_vs_opponent,target_runs
548346,2012-04-29,a ashish reddy,deccan chargers,mumbai indians,10,0,1,1,100.0,0,0.0,0.0,0.0,13.5,10
548352,2012-05-04,a ashish reddy,deccan chargers,chennai super kings,3,0,0,1,100.0,1,10.0,10.0,10.0,15.0,3
548359,2012-05-08,a ashish reddy,deccan chargers,kings xi punjab,8,1,0,1,100.0,2,6.5,6.5,6.5,12.333333333333334,8
548373,2012-05-18,a ashish reddy,deccan chargers,rajasthan royals,4,2,0,0,250.0,3,7.0,7.0,7.0,12.333333333333334,10
548376,2012-05-20,a ashish reddy,deccan chargers,royal challengers bangalore,5,0,0,1,80.0,4,7.75,7.75,7.75,11.0,4
598000,2013-04-05,a ashish reddy,sunrisers hyderabad,pune warriors,4,1,0,0,175.0,5,7.0,7.0,7.0,13.0,7
598004,2013-04-07,a ashish reddy,sunrisers hyderabad,royal challengers bangalore,12,0,1,1,116.66666666666667,6,7.0,6.4,7.0,11.0,14
598048,2013-04-09,a ashish reddy,sunrisers hyderabad,royal challengers bangalore,4,0,0,1,75.0,7,8.0,8.6,8.0,11.0,3
598010,2013-04-12,a ashish reddy,sunrisers hyderabad,delhi daredevils,9,2,0,1,177.77777777777777,8,7.375,7.6,7.375,12.0,16
598013,2013-04-14,a ashish reddy,sunrisers hyderabad,kolkata knight riders,5,0,0,1,80.0,9,8.333333333333334,8.8,8.333333333333334,8.5,4
598018,2013-04-17,a ashish reddy,sunrisers hyderabad,pune warriors,15,0,1,0,126.66666666666666,10,7.9,8.8,7.9,13.0,19
598021,2013-04-19,a ashish reddy,sunrisers hyderabad,kings xi punjab,7,1,0,0,100.0,11,8.909090909090908,11.2,8.8,12.333333333333334,7
598030,2013-04-25,a ashish reddy,sunrisers hyderabad,chennai super kings,16,2,3,0,225.0,12,8.75,9.8,9.2,15.0,36
598032,2013-04-27,a ashish reddy,sunrisers hyderabad,rajasthan royals,11,1,0,1,127.27272727272727,13,10.846153846153847,16.4,12.0,12.333333333333334,14
598044,2013-05-04,a ashish reddy,sunrisers hyderabad,delhi daredevils,7,1,0,1,71.42857142857143,14,11.071428571428571,16.0,12.4,12.0,5
829727,2015-04-16,a ashish reddy,sunrisers hyderabad,rajasthan royals,9,0,1,0,144.44444444444443,15,10.666666666666666,16.2,12.5,12.333333333333334,13
829731,2015-04-18,a ashish reddy,sunrisers hyderabad,delhi daredevils,8,1,1,1,187.5,16,10.8125,15.0,13.1,12.0,15
829759,2015-04-27,a ashish reddy,sunrisers hyderabad,kings xi punjab,8,1,2,0,275.0,17,11.058823529411764,16.6,13.2,12.333333333333334,22
829773,2015-05-02,a ashish reddy,sunrisers hyderabad,chennai super kings,6,1,0,1,100.0,18,11.666666666666666,13.8,15.1,15.0,6
829815,2015-05-17,a ashish reddy,sunrisers hyderabad,mumbai indians,15,0,1,1,113.33333333333333,19,11.368421052631579,12.2,14.1,13.5,17
980907,2016-04-12,a ashish reddy,sunrisers hyderabad,royal challengers bangalore,18,2,3,1,177.77777777777777,20,11.65,14.6,15.4,11.0,32
980915,2016-04-16,a ashish reddy,sunrisers hyderabad,kolkata knight riders,9,0,1,1,144.44444444444443,21,12.619047619047619,18.4,16.7,8.5,13
980953,2016-04-30,a ashish reddy,sunrisers hyderabad,royal challengers bangalore,3,0,0,0,66.66666666666666,22,12.636363636363637,18.0,17.3,11.0,2
1304050,2022-03-28,a badoni,lucknow super giants,gujarat titans,42,4,3,1,128.57142857142858,0,0.0,17.0,15.222222222222221,22.2,54
1304053,2022-03-31,a badoni,lucknow super giants,chennai super kings,14,0,2,0,135.71428571428572,1,54.0,29.0,19.666666666666668,33.666666666666664,19
1304058,2022-04-04,a badoni,lucknow super giants,sunrisers hyderabad,13,3,0,1,146.15384615384613,2,36.5,29.5,21.22222222222222,37.0,19
1304061,2022-04-07,a badoni,lucknow super giants,delhi capitals,3,1,1,0,333.33333333333337,3,30.666666666666668,26.25,21.88888888888889,22.25,10
1304066,2022-04-10,a badoni,lucknow super giants,rajasthan royals,7,0,0,1,71.42857142857143,4,25.5,25.5,21.333333333333332,5.0,5
1304077,2022-04-19,a badoni,lucknow super giants,royal challengers bangalore,13,2,0,1,100.0,5,21.4,21.4,19.444444444444443,15.666666666666666,13
1304083,2022-04-24,a badoni,lucknow super giants,mumbai indians,11,0,1,1,127.27272727272727,6,20.0,13.2,20.22222222222222,10.75,14
1304088,2022-04-29,a badoni,lucknow super giants,punjab kings,4,0,0,1,100.0,7,19.142857142857142,12.2,19.88888888888889,15.0,4
1304099,2022-05-07,a badoni,lucknow super giants,kolkata knight riders,19,0,0,1,78.94736842105263,8,17.25,9.2,16.77777777777778,21.0,15
1304103,2022-05-10,a badoni,lucknow super giants,gujarat titans,12,1,0,1,66.66666666666666,9,17.0,10.2,17.0,22.2,8
1304109,2022-05-15,a badoni,lucknow super giants,rajasthan royals,1,0,0,1,0.0,10,16.1,10.8,16.1,5.0,0
1359477,2023-04-01,a badoni,lucknow super giants,delhi capitals,9,1,2,1,200.0,11,14.636363636363637,8.2,10.7,22.25,18
1359480,2023-04-03,a badoni,lucknow super giants,chennai super kings,19,0,0,1,121.05263157894737,12,14.916666666666666,9.0,10.6,33.666666666666664,23
1359489,2023-04-10,a badoni,lucknow super giants,royal challengers bangalore,29,4,0,1,103.44827586206897,13,15.538461538461538,12.8,11.0,15.666666666666666,30
1359495,2023-04-15,a badoni,lucknow super giants,punjab kings,7,0,0,0,71.42857142857143,14,16.571428571428573,15.8,13.0,15.0,5
1359500,2023-04-19,a badoni,lucknow super giants,rajasthan royals,4,0,0,1,25.0,15,15.8,15.2,13.0,5.0,1
1359504,2023-04-22,a badoni,lucknow super giants,gujarat titans,6,0,0,0,133.33333333333331,16,14.875,15.4,11.8,22.2,8
1359512,2023-04-28,a badoni,lucknow super giants,punjab kings,25,3,3,1,172.0,17,14.470588235294118,13.4,11.2,15.0,43
1359517,2023-05-01,a badoni,lucknow super giants,royal challengers bangalore,11,0,0,1,36.36363636363637,18,16.055555555555557,17.4,15.1,15.666666666666666,4
1359519,2023-05-03,a badoni,lucknow super giants,chennai super kings,35,2,4,0,168.57142857142858,19,15.421052631578947,12.2,14.0,33.666666666666664,59
1359525,2023-05-07,a badoni,lucknow super giants,gujarat titans,12,1,2,1,175.0,20,17.6,23.0,19.1,22.2,21
1359542,2023-05-20,a badoni,lucknow super giants,kolkata knight riders,22,2,1,1,113.63636363636364,21,17.761904761904763,27.0,21.2,21.0,25
1370351,2023-05-24,a badoni,lucknow super giants,mumbai indians,7,0,0,1,14.285714285714285,22,18.09090909090909,30.4,21.9,10.75,1
1422122,2024-03-24,a badoni,lucknow super giants,rajasthan royals,5,0,0,1,20.0,23,17.347826086956523,22.0,19.7,5.0,1
1422129,2024-03-30,a badoni,lucknow super giants,punjab kings,10,0,0,1,80.0,24,16.666666666666668,21.4,16.8,15.0,8
1422133,2024-04-02,a badoni,lucknow super giants,royal challengers bengaluru,3,0,0,1,0.0,25,16.32,11.2,17.1,0.0,0
1422139,2024-04-07,a badoni,lucknow super giants,gujarat titans,12,3,0,1,166.66666666666669,26,15.692307692307692,7.0,17.0,22.2,20
1426264,2024-04-12,a badoni,lucknow super giants,delhi capitals,38,5,1,0,144.73684210526315,27,15.851851851851851,6.0,18.2,22.25,55
1426266,2024-04-14,a badoni,lucknow super giants,kolkata knight riders,27,2,1,1,107.40740740740742,28,17.25,16.8,19.4,21.0,29
1426282,2024-04-27,a badoni,lucknow super giants,rajasthan royals,15,1,0,0,120.0,29,17.655172413793103,22.4,21.9,5.0,18
1426286,2024-04-30,a badoni,lucknow super giants,mumbai indians,6,1,0,1,100.0,30,17.666666666666668,24.4,17.8,10.75,6
1426292,2024-05-05,a badoni,lucknow super giants,kolkata knight riders,13,0,1,1,115.38461538461537,31,17.29032258064516,25.6,16.3,21.0,15
1426295,2024-05-08,a badoni,lucknow super giants,sunrisers hyderabad,32,9,0,0,171.875,32,17.21875,24.6,15.3,37.0,55
1426302,2024-05-14,a badoni,lucknow super giants,delhi capitals,9,0,0,1,66.66666666666666,33,18.363636363636363,24.6,20.7,22.25,6
1426305,2024-05-17,a badoni,lucknow super giants,mumbai indians,10,1,2,0,220.00000000000003,34,18.0,20.0,21.2,10.75,22
548373,2012-05-18,a chandila,rajasthan royals,deccan chargers,1,0,0,1,0.0,0,0.0,20.5,22.666666666666668,0.0,0
598023,2013-04-20,a chandila,rajasthan royals,royal challengers bangalore,6,0,0,0,66.66666666666666,1,0.0,19.0,22.666666666666668,4.0,4
336010,2008-05-08,a chopra,kolkata knight riders,royal challengers bangalore,5,0,0,1,40.0,0,0.0,20.333333333333332,23.0,2.0,2
336014,2008-05-11,a chopra,kolkata knight riders,deccan chargers,25,3,0,1,96.0,1,2.0,2.6666666666666665,16.375,17.5,24
336017,2008-05-13,a chopra,kolkata knight riders,delhi daredevils,18,2,0,1,72.22222222222221,2,13.0,8.666666666666666,15.75,13.0,13
336021,2008-05-16,a chopra,kolkata knight riders,mumbai indians,4,0,0,0,25.0,3,13.0,9.75,15.125,1.0,1
336035,2008-05-25,a chopra,kolkata knight riders,kings xi punjab,3,0,0,1,66.66666666666666,4,10.0,10.0,14.5,2.0,2
392184,2009-04-19,a chopra,kolkata knight riders,deccan chargers,20,2,0,1,55.00000000000001,5,8.4,8.4,12.875,17.5,11
1082591,2017-04-05,a choudhary,royal challengers bangalore,sunrisers hyderabad,2,0,1,1,300.0,0,0.0,10.0,6.857142857142857,6.0,6
1082621,2017-04-27,a choudhary,royal challengers bangalore,gujarat lions,12,1,0,0,125.0,1,6.0,5.5,6.857142857142857,15.0,15
1082633,2017-05-05,a choudhary,royal challengers bangalore,kings xi punjab,6,0,0,1,66.66666666666666,2,10.5,6.0,7.875,4.0,4
1136569,2018-04-14,a dananjaya,mumbai indians,delhi daredevils,5,0,0,0,80.0,0,0.0,7.666666666666667,9.0,4.0,4
392181,2009-04-18,a flintoff,chennai super kings,mumbai indians,25,2,1,1,96.0,0,0.0,10.5,9.0,24.0,24
392185,2009-04-20,a flintoff,chennai super kings,royal challengers bangalore,14,2,1,0,157.14285714285714,1,24.0,15.0,12.142857142857142,22.0,22
392189,2009-04-23,a flintoff,chennai super kings,delhi daredevils,18,1,0,1,88.88888888888889,2,23.0,20.333333333333332,11.857142857142858,16.0,16
1426298,2024-05-11,a kamboj,mumbai indians,kolkata knight riders,2,0,0,0,100.0,0,0.0,23.0,11.666666666666666,2.0,2
336006,2008-05-05,a kumble,royal challengers bangalore,kings xi punjab,7,0,0,0,42.857142857142854,0,0.0,23.0,13.8,2.25,3
336016,2008-05-12,a kumble,royal challengers bangalore,kings xi punjab,1,0,0,0,0.0,1,3.0,16.333333333333332,14.0,2.25,0
336023,2008-05-17,a kumble,royal challengers bangalore,rajasthan royals,8,1,0,1,100.0,2,1.5,8.333333333333334,11.666666666666666,8.0,8
336029,2008-05-21,a kumble,royal challengers bangalore,chennai super kings,1,0,0,0,200.0,3,3.6666666666666665,3.6666666666666665,12.0,1.5,2
392185,2009-04-20,a kumble,royal challengers bangalore,chennai super kings,5,0,0,0,20.0,4,3.25,3.25,9.833333333333334,1.5,1
392188,2009-04-22,a kumble,royal challengers bangalore,deccan chargers,1,0,0,0,100.0,5,2.8,2.8,8.571428571428571,1.3333333333333333,1
392191,2009-04-24,a kumble,royal challengers bangalore,kings xi punjab,3,1,0,0,166.66666666666669,6,2.5,2.4,7.625,2.25,5
392204,2009-05-01,a kumble,royal challengers bangalore,kings xi punjab,4,0,0,1,25.0,7,2.857142857142857,3.4,5.25,2.25,1
392218,2009-05-10,a kumble,royal challengers bangalore,mumbai indians,6,1,0,0,116.66666666666667,8,2.625,2.0,2.625,3.0,7
392239,2009-05-24,a kumble,royal challengers bangalore,deccan chargers,1,0,0,0,100.0,9,3.111111111111111,3.0,3.111111111111111,1.3333333333333333,1
419128,2010-03-25,a kumble,royal challengers bangalore,delhi daredevils,1,0,0,0,100.0,10,2.9,3.0,2.9,1.0,1
419140,2010-04-04,a kumble,royal challengers bangalore,delhi daredevils,1,0,0,0,100.0,11,2.727272727272727,3.0,2.7,1.0,1
419151,2010-04-12,a kumble,royal challengers bangalore,deccan chargers,4,0,0,0,50.0,12,2.5833333333333335,2.2,2.8,1.3333333333333333,2
419157,2010-04-17,a kumble,royal challengers bangalore,mumbai indians,3,0,0,0,33.33333333333333,13,2.5384615384615383,2.4,2.2,3.0,1
419162,2010-04-21,a kumble,royal challengers bangalore,mumbai indians,3,0,0,0,33.33333333333333,14,2.4285714285714284,1.2,2.1,3.0,1
1304050,2022-03-28,a manohar,gujarat titans,lucknow super giants,7,3,0,0,214.28571428571428,0,0.0,1.25,2.2222222222222223,9.0,15
1304056,2022-04-02,a manohar,gujarat titans,delhi capitals,2,0,0,1,50.0,1,15.0,4.75,3.7777777777777777,11.666666666666666,1
1304067,2022-04-11,a manohar,gujarat titans,sunrisers hyderabad,22,5,1,1,159.0909090909091,2,8.0,4.75,3.3333333333333335,17.5,35
1304070,2022-04-14,a manohar,gujarat titans,rajasthan royals,29,4,2,1,148.27586206896552,3,17.0,13.0,7.111111111111111,23.666666666666668,43
1304075,2022-04-17,a manohar,gujarat titans,chennai super kings,12,2,0,1,100.0,4,23.5,23.5,11.11111111111111,12.0,12
1304081,2022-04-23,a manohar,gujarat titans,kolkata knight riders,5,0,0,1,40.0,5,21.2,21.2,12.333333333333334,8.0,2
1304086,2022-04-27,a manohar,gujarat titans,sunrisers hyderabad,2,0,0,1,0.0,6,18.0,18.6,12.444444444444445,17.5,0
1359487,2023-04-09,a manohar,gujarat titans,kolkata knight riders,8,3,0,1,175.0,7,15.428571428571429,18.4,12.333333333333334,8.0,14
1359497,2023-04-16,a manohar,gujarat titans,rajasthan royals,13,0,3,1,207.6923076923077,8,15.25,14.2,13.666666666666666,23.666666666666668,27
1359504,2023-04-22,a manohar,gujarat titans,lucknow super giants,5,0,0,1,60.0,9,16.555555555555557,11.0,16.555555555555557,9.0,3
1359509,2023-04-25,a manohar,gujarat titans,mumbai indians,21,3,3,1,200.0,10,15.2,9.2,15.2,22.0,42
1359518,2023-05-02,a manohar,gujarat titans,delhi capitals,36,0,1,1,72.22222222222221,11,17.636363636363637,17.2,17.9,11.666666666666666,26
1359531,2023-05-12,a manohar,gujarat titans,mumbai indians,3,0,0,1,66.66666666666666,12,18.333333333333332,22.4,20.4,22.0,2
1426262,2024-04-10,a manohar,gujarat titans,rajasthan royals,2,0,0,1,50.0,13,17.076923076923077,20.0,17.1,23.666666666666668,1
1426270,2024-04-17,a manohar,gujarat titans,delhi capitals,14,1,0,1,57.14285714285714,14,15.928571428571429,14.8,12.9,11.666666666666666,8
336015,2008-05-11,a mishra,delhi daredevils,rajasthan royals,5,0,0,1,80.0,0,0.0,17.75,13.0,4.285714285714286,4
336017,2008-05-13,a mishra,delhi daredevils,kolkata knight riders,32,3,0,1,96.875,1,4.0,8.25,13.222222222222221,7.75,31
336038,2008-05-30,a mishra,delhi daredevils,rajasthan royals,5,0,0,1,40.0,2,17.5,9.5,16.666666666666668,4.285714285714286,2
392198,2009-04-28,a mishra,delhi daredevils,rajasthan royals,4,0,0,1,0.0,3,12.333333333333334,9.5,15.333333333333334,4.285714285714286,0
392206,2009-05-02,a mishra,delhi daredevils,chennai super kings,8,1,1,0,137.5,4,9.25,9.25,12.333333333333334,7.25,11
392223,2009-05-13,a mishra,delhi daredevils,deccan chargers,3,0,0,1,66.66666666666666,5,9.6,9.6,13.222222222222221,1.5,2
392235,2009-05-21,a mishra,delhi daredevils,mumbai indians,4,1,1,0,325.0,6,8.333333333333334,9.2,8.777777777777779,8.8,13
392237,2009-05-22,a mishra,delhi daredevils,deccan chargers,1,0,0,0,0.0,7,9.0,5.6,7.333333333333333,1.5,0
419114,2010-03-17,a mishra,delhi daredevils,mumbai indians,5,0,0,1,60.0,8,7.875,5.2,7.111111111111111,8.8,3
419116,2010-03-19,a mishra,delhi daredevils,chennai super kings,3,1,0,0,200.0,9,7.333333333333333,5.8,7.333333333333333,7.25,6
419120,2010-03-21,a mishra,delhi daredevils,deccan chargers,1,0,0,1,0.0,10,7.2,4.8,7.2,1.5,0
419144,2010-04-07,a mishra,delhi daredevils,kolkata knight riders,6,0,0,0,66.66666666666666,11,6.545454545454546,4.4,6.8,7.75,4
419149,2010-04-11,a mishra,delhi daredevils,kings xi punjab,12,0,0,0,83.33333333333334,12,6.333333333333333,2.6,4.1,4.5,10
419152,2010-04-13,a mishra,delhi daredevils,mumbai indians,17,0,0,1,70.58823529411765,13,6.615384615384615,4.6,4.9,8.8,12
419160,2010-04-18,a mishra,delhi daredevils,deccan chargers,10,0,0,1,40.0,14,7.0,6.4,6.1,1.5,4
501199,2011-04-09,a mishra,deccan chargers,rajasthan royals,2,0,0,0,100.0,15,6.8,6.0,5.4,4.285714285714286,2
501203,2011-04-11,a mishra,deccan chargers,kolkata knight riders,6,1,1,0,200.0,16,6.5,6.4,5.4,7.75,12
501212,2011-04-16,a mishra,deccan chargers,kings xi punjab,1,0,0,1,0.0,17,6.823529411764706,8.0,5.3,4.5,0
501224,2011-04-24,a mishra,deccan chargers,mumbai indians,19,4,0,1,131.57894736842107,18,6.444444444444445,6.0,5.3,8.8,25
501229,2011-04-27,a mishra,deccan chargers,kochi tuskers kerala,1,0,0,1,0.0,19,7.421052631578948,8.6,7.5,0.0,0
501236,2011-05-01,a mishra,deccan chargers,chennai super kings,5,0,0,1,40.0,20,7.05,7.8,6.9,7.25,2
501239,2011-05-03,a mishra,deccan chargers,kolkata knight riders,10,0,0,0,90.0,21,6.809523809523809,7.8,7.1,7.75,9
501250,2011-05-10,a mishra,deccan chargers,pune warriors,1,0,0,1,0.0,22,6.909090909090909,7.2,7.6,15.0,0
501256,2011-05-14,a mishra,deccan chargers,mumbai indians,7,4,0,0,257.14285714285717,23,6.608695652173913,7.2,6.6,8.8,18
548314,2012-04-09,a mishra,deccan chargers,mumbai indians,2,0,0,1,0.0,24,7.083333333333333,5.8,7.2,8.8,0
548321,2012-04-19,a mishra,deccan chargers,delhi daredevils,7,0,0,1,85.71428571428571,25,6.8,5.8,6.8,11.0,6
548335,2012-04-22,a mishra,deccan chargers,kolkata knight riders,1,0,0,0,100.0,26,6.769230769230769,6.6,7.2,7.75,1
548346,2012-04-29,a mishra,deccan chargers,mumbai indians,6,0,0,1,16.666666666666664,27,6.555555555555555,5.0,6.1,8.8,1
548359,2012-05-08,a mishra,deccan chargers,kings xi punjab,5,1,0,0,160.0,28,6.357142857142857,5.2,6.2,4.5,8
598010,2013-04-12,a mishra,sunrisers hyderabad,delhi daredevils,14,2,0,0,114.28571428571428,29,6.413793103448276,3.2,4.5,11.0,16
598013,2013-04-14,a mishra,sunrisers hyderabad,kolkata knight riders,1,0,0,0,100.0,30,6.733333333333333,6.4,6.1,7.75,1
598018,2013-04-17,a mishra,sunrisers hyderabad,pune warriors,26,3,0,1,115.38461538461537,31,6.548387096774194,5.4,6.0,15.0,30
598030,2013-04-25,a mishra,sunrisers hyderabad,chennai super kings,21,2,0,1,71.42857142857143,32,7.28125,11.2,8.1,7.25,15
598032,2013-04-27,a mishra,sunrisers hyderabad,rajasthan royals,33,2,0,1,63.63636363636363,33,7.515151515151516,14.0,9.6,4.285714285714286,21
598051,2013-05-08,a mishra,sunrisers hyderabad,chennai super kings,8,0,0,0,75.0,34,7.911764705882353,16.6,9.9,7.25,6
729295,2014-04-22,a mishra,sunrisers hyderabad,kings xi punjab,5,0,0,0,80.0,35,7.857142857142857,14.6,10.5,4.5,4
733989,2014-05-08,a mishra,sunrisers hyderabad,rajasthan royals,2,0,0,1,0.0,36,7.75,15.2,10.3,4.285714285714286,0
829707,2015-04-09,a mishra,delhi daredevils,chennai super kings,5,0,0,1,80.0,37,7.54054054054054,9.2,10.2,7.25,4
829739,2015-04-20,a mishra,delhi daredevils,kolkata knight riders,1,0,0,0,100.0,38,7.447368421052632,7.0,10.5,7.75,1
829757,2015-04-26,a mishra,delhi daredevils,royal challengers bangalore,4,0,0,1,50.0,39,7.282051282051282,3.0,9.8,9.0,2
829777,2015-05-03,a mishra,delhi daredevils,rajasthan royals,3,0,0,0,33.33333333333333,40,7.15,2.2,8.4,4.285714285714286,1
980903,2016-04-10,a mishra,delhi daredevils,kolkata knight riders,9,0,0,1,33.33333333333333,41,7.0,1.6,8.4,7.75,3
980993,2016-05-15,a mishra,delhi daredevils,mumbai indians,5,0,0,1,20.0,42,6.904761904761905,2.2,5.7,8.8,1
1082595,2017-04-08,a mishra,delhi daredevils,royal challengers bangalore,14,0,0,0,57.14285714285714,43,6.767441860465116,1.6,4.3,9.0,8
1082626,2017-04-30,a mishra,delhi daredevils,kings xi punjab,11,0,0,0,36.36363636363637,44,6.795454545454546,3.0,3.0,4.5,4
1082635,2017-05-06,a mishra,delhi daredevils,mumbai indians,15,0,0,0,60.0,45,6.733333333333333,3.4,2.8,8.8,9
1082640,2017-05-10,a mishra,delhi daredevils,gujarat lions,2,2,0,0,400.0,46,6.782608695652174,5.0,3.3,8.0,8
1082642,2017-05-12,a mishra,delhi daredevils,rising pune supergiant,10,0,1,0,130.0,47,6.808510638297872,6.0,4.1,13.0,13
1082646,2017-05-14,a mishra,delhi daredevils,royal challengers bangalore,4,0,1,1,175.0,48,6.9375,8.4,5.0,9.0,7
1136582,2018-04-23,a mishra,delhi daredevils,kings xi punjab,2,0,0,0,50.0,49,6.938775510204081,8.2,5.6,4.5,1
1178409,2019-04-18,a mishra,delhi capitals,mumbai indians,9,0,0,0,66.66666666666666,50,6.82,7.6,5.5,8.8,6
