matchid,date,inning,batsman,batting_team,bowling_team,balls_faced,fours,sixes,dismissed,strike_rate,career_matches,career_avg_runs,career_strike_rate,form_runs_last_5,form_runs_last_10,form_sr_last_5,matches_vs_opponent,avg_runs_vs_opponent,is_first_innings,is_rookie,target_runs
548346,2012-04-29,1,a ashish reddy,sunrisers hyderabad,mumbai indians,10,0,1,1,100.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,1,10
548352,2012-05-04,2,a ashish reddy,sunrisers hyderabad,chennai super kings,3,0,0,1,100.0,1,10.0,100.0,10.0,10.0,100.0,0,0.0,0,1,3
548359,2012-05-08,2,a ashish reddy,sunrisers hyderabad,punjab kings,8,1,0,1,100.0,2,6.5,100.0,6.5,6.5,100.0,0,0.0,0,1,8
548373,2012-05-18,2,a ashish reddy,sunrisers hyderabad,rajasthan royals,4,2,0,0,250.0,3,7.0,100.0,7.0,7.0,100.0,0,0.0,0,1,10
548376,2012-05-20,1,a ashish reddy,sunrisers hyderabad,royal challengers bangalore,3,0,0,0,133.33333333333331,4,7.75,124.0,7.75,7.75,137.5,0,0.0,1,1,4
598000,2013-04-05,1,a ashish reddy,sunrisers hyderabad,defunct_pune_warriors,4,1,0,0,175.0,5,7.0,125.0,7.0,7.0,136.66666666666666,0,0.0,1,0,7
598004,2013-04-07,2,a ashish reddy,sunrisers hyderabad,royal challengers bangalore,12,0,1,1,116.66666666666667,6,7.0,131.25,6.4,7.0,151.66666666666666,1,7.0,0,0,14
598048,2013-04-09,1,a ashish reddy,sunrisers hyderabad,royal challengers bangalore,3,0,0,1,66.66666666666666,7,8.0,127.27272727272727,8.6,8.0,155.0,2,9.0,1,0,2
598010,2013-04-12,2,a ashish reddy,sunrisers hyderabad,delhi capitals,9,2,0,1,177.77777777777777,8,7.25,123.40425531914893,7.4,7.25,148.33333333333331,0,0.0,0,0,16
598013,2013-04-14,2,a ashish reddy,sunrisers hyderabad,kolkata knight riders,5,0,0,1,80.0,9,8.222222222222221,132.14285714285714,8.6,8.222222222222221,133.88888888888886,0,0.0,0,0,4
598018,2013-04-17,1,a ashish reddy,sunrisers hyderabad,defunct_pune_warriors,14,0,1,0,128.57142857142858,10,7.8,127.86885245901641,8.6,7.8,123.22222222222221,1,4.0,1,0,18
598021,2013-04-19,2,a ashish reddy,sunrisers hyderabad,punjab kings,7,1,0,0,100.0,11,8.727272727272727,128.0,10.8,8.6,113.93650793650792,1,25.0,0,0,7
598030,2013-04-25,1,a ashish reddy,sunrisers hyderabad,chennai super kings,16,2,3,0,225.0,12,8.583333333333334,125.60975609756098,9.4,9.0,110.60317460317461,1,15.0,1,0,36
598032,2013-04-27,1,a ashish reddy,sunrisers hyderabad,rajasthan royals,11,1,0,1,127.27272727272727,13,10.692307692307692,141.83673469387753,16.2,11.8,142.26984126984127,1,39.0,1,0,14
598044,2013-05-04,2,a ashish reddy,sunrisers hyderabad,delhi capitals,5,1,0,0,100.0,14,10.928571428571429,140.36697247706422,15.8,12.2,132.1688311688312,1,24.0,0,0,5
829727,2015-04-16,1,a ashish reddy,sunrisers hyderabad,rajasthan royals,9,0,1,0,144.44444444444443,15,10.533333333333333,138.5964912280702,16.0,12.3,136.1688311688312,2,10.5,1,0,13
829731,2015-04-18,2,a ashish reddy,sunrisers hyderabad,delhi capitals,8,1,1,1,187.5,16,10.6875,139.02439024390242,15.0,12.9,139.34343434343432,2,18.5,0,0,15
829759,2015-04-27,1,a ashish reddy,sunrisers hyderabad,punjab kings,8,1,2,0,275.0,17,10.941176470588236,141.98473282442748,16.6,13.0,156.84343434343432,2,18.0,1,0,22
829773,2015-05-02,1,a ashish reddy,sunrisers hyderabad,chennai super kings,6,1,0,1,100.0,18,11.555555555555555,149.64028776978418,13.8,15.0,166.84343434343432,2,18.5,1,0,6
829815,2015-05-17,1,a ashish reddy,sunrisers hyderabad,mumbai indians,15,0,1,1,113.33333333333333,19,11.263157894736842,147.58620689655174,12.2,14.0,161.38888888888886,1,45.0,1,0,17
980907,2016-04-12,2,a ashish reddy,sunrisers hyderabad,royal challengers bangalore,18,2,3,1,177.77777777777777,20,11.55,144.375,14.6,15.3,164.05555555555554,3,9.0,0,0,32
980915,2016-04-16,1,a ashish reddy,sunrisers hyderabad,kolkata knight riders,7,0,0,1,100.0,21,12.523809523809524,147.75280898876403,18.4,16.7,170.72222222222223,1,52.0,1,0,7
980953,2016-04-30,1,a ashish reddy,sunrisers hyderabad,royal challengers bangalore,3,0,0,0,66.66666666666666,22,12.272727272727273,145.94594594594594,16.8,16.7,153.22222222222223,4,2.75,1,0,2
1304050,2022-03-28,1,a badoni,lucknow super giants,gujarat titans,41,4,3,1,131.70731707317074,0,0.0,144.6808510638298,15.5,14.555555555555555,122.77777777777779,0,0.0,1,1,54
1304053,2022-03-31,2,a badoni,lucknow super giants,chennai super kings,8,0,2,0,225.0,1,54.0,131.70731707317074,27.5,19.0,130.70460704607046,0,0.0,0,1,18
1304058,2022-04-04,1,a badoni,lucknow super giants,sunrisers hyderabad,11,3,0,0,172.72727272727272,2,36.0,146.9387755102041,27.75,20.444444444444443,158.62127371273712,0,0.0,1,1,19
1304061,2022-04-07,2,a badoni,lucknow super giants,delhi capitals,3,1,1,0,333.33333333333337,3,30.333333333333332,151.66666666666666,24.5,21.11111111111111,157.35864745011088,0,0.0,0,1,10
