season,match_id,batter,bowling_team,venue,runs,balls
2007/08,335982,AA Noffke,Kolkata Knight Riders,M Chinnaswamy Stadium,9,12
2007/08,335982,B Akhil,Kolkata Knight Riders,M Chinnaswamy Stadium,0,2
2007/08,335982,BB McCullum,Royal Challengers Bangalore,M Chinnaswamy Stadium,158,77
2007/08,335982,CL White,Kolkata Knight Riders,M Chinnaswamy Stadium,6,10
2007/08,335982,DJ Hussey,Royal Challengers Bangalore,M Chinnaswamy Stadium,12,12
2007/08,335982,JH Kallis,Kolkata Knight Riders,M Chinnaswamy Stadium,8,7
2007/08,335982,MV Boucher,Kolkata Knight Riders,M Chinnaswamy Stadium,7,11
2007/08,335982,Mohammad Hafeez,Royal Challengers Bangalore,M Chinnaswamy Stadium,5,3
2007/08,335982,P Kumar,Kolkata Knight Riders,M Chinnaswamy Stadium,18,17
2007/08,335982,R Dravid,Kolkata Knight Riders,M Chinnaswamy Stadium,2,3
2007/08,335982,RT Ponting,Royal Challengers Bangalore,M Chinnaswamy Stadium,20,20
2007/08,335982,SB Joshi,Kolkata Knight Riders,M Chinnaswamy Stadium,3,8
2007/08,335982,SC Ganguly,Royal Challengers Bangalore,M Chinnaswamy Stadium,10,12
2007/08,335982,V Kohli,Kolkata Knight Riders,M Chinnaswamy Stadium,1,5
2007/08,335982,W Jaffer,Kolkata Knight Riders,M Chinnaswamy Stadium,6,18
2007/08,335982,Z Khan,Kolkata Knight Riders,M Chinnaswamy Stadium,3,8
2007/08,335983,IK Pathan,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",3,5
2007/08,335983,JDP Oram,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",13,11
2007/08,335983,JR Hopes,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",71,34
2007/08,335983,K Goel,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",24,20
2007/08,335983,KC Sangakkara,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",54,35
2007/08,335983,MEK Hussey,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",116,54
2007/08,335983,ML Hayden,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",25,17
2007/08,335983,MS Dhoni,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2,3
2007/08,335983,PA Patel,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",15,11
2007/08,335983,S Badrinath,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",31,14
2007/08,335983,SK Raina,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",32,14
2007/08,335983,SM Katich,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",21,17
2007/08,335983,Yuvraj Singh,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",23,13
2007/08,335984,D Salunkhe,Delhi Daredevils,Feroz Shah Kotla,26,20
2007/08,335984,DS Lehmann,Delhi Daredevils,Feroz Shah Kotla,1,2
2007/08,335984,G Gambhir,Rajasthan Royals,Feroz Shah Kotla,58,49
2007/08,335984,M Kaif,Delhi Daredevils,Feroz Shah Kotla,9,19
2007/08,335984,M Rawat,Delhi Daredevils,Feroz Shah Kotla,2,4
2007/08,335984,RA Jadeja,Delhi Daredevils,Feroz Shah Kotla,29,24
2007/08,335984,S Dhawan,Rajasthan Royals,Feroz Shah Kotla,52,44
2007/08,335984,SK Trivedi,Delhi Daredevils,Feroz Shah Kotla,3,7
2007/08,335984,SK Warne,Delhi Daredevils,Feroz Shah Kotla,14,13
2007/08,335984,SR Watson,Delhi Daredevils,Feroz Shah Kotla,21,15
2007/08,335984,T Kohli,Delhi Daredevils,Feroz Shah Kotla,7,13
2007/08,335984,V Sehwag,Rajasthan Royals,Feroz Shah Kotla,12,4
2007/08,335984,YK Pathan,Delhi Daredevils,Feroz Shah Kotla,10,5
2007/08,335985,AM Nayar,Royal Challengers Bangalore,Wankhede Stadium,20,15
2007/08,335985,B Akhil,Mumbai Indians,Wankhede Stadium,3,6
2007/08,335985,DJ Thornely,Royal Challengers Bangalore,Wankhede Stadium,0,6
2007/08,335985,Harbhajan Singh,Royal Challengers Bangalore,Wankhede Stadium,2,2
2007/08,335985,JH Kallis,Mumbai Indians,Wankhede Stadium,25,24
2007/08,335985,L Ronchi,Royal Challengers Bangalore,Wankhede Stadium,8,10
2007/08,335985,LRPL Taylor,Mumbai Indians,Wankhede Stadium,23,13
2007/08,335985,MV Boucher,Mumbai Indians,Wankhede Stadium,39,20
2007/08,335985,PR Shah,Royal Challengers Bangalore,Wankhede Stadium,19,23
2007/08,335985,R Dravid,Mumbai Indians,Wankhede Stadium,32,33
2007/08,335985,RV Uthappa,Royal Challengers Bangalore,Wankhede Stadium,48,38
2007/08,335985,S Chanderpaul,Mumbai Indians,Wankhede Stadium,16,12
2007/08,335985,SM Pollock,Royal Challengers Bangalore,Wankhede Stadium,28,12
2007/08,335985,ST Jayasuriya,Royal Challengers Bangalore,Wankhede Stadium,29,17
