season,batter,matches_played,avg_runs_last_5,avg_sr_last_5,career_avg_runs,runs
2013,A Ashish Reddy,5,7.0,126.0,7.0,7
2013,A Ashish Reddy,6,6.4,141.0,7.0,14
2013,A Ashish Reddy,7,8.6,144.33333333333331,8.0,16
2013,A Ashish Reddy,8,10.2,159.88888888888889,9.0,4
2013,A Ashish Reddy,9,9.0,125.88888888888889,8.444444444444445,19
2013,A Ashish Reddy,10,12.0,135.22222222222223,9.5,7
2013,A Ashish Reddy,11,12.0,120.22222222222221,9.272727272727273,36
2013,A Ashish Reddy,12,16.4,141.88888888888889,11.5,14
2013,A Ashish Reddy,13,16.0,131.7878787878788,11.692307692307692,5
2013,A Ashish Reddy,14,16.2,130.0735930735931,11.214285714285714,3
2015,A Ashish Reddy,15,13.0,119.74025974025975,10.666666666666666,13
2015,A Ashish Reddy,16,14.2,128.62914862914863,10.8125,15
2015,A Ashish Reddy,17,10.0,121.12914862914863,11.058823529411764,22
2015,A Ashish Reddy,18,11.6,150.6746031746032,11.666666666666666,6
2015,A Ashish Reddy,19,11.8,156.38888888888886,11.368421052631579,17
2016,A Ashish Reddy,20,14.6,164.05555555555554,11.65,32
2016,A Ashish Reddy,21,18.4,170.72222222222223,12.619047619047619,13
2016,A Ashish Reddy,22,18.0,162.1111111111111,12.636363636363637,2
2022,A Badoni,5,21.4,163.04029304029305,21.4,13
2022,A Badoni,6,13.2,157.32600732600733,20.0,14
2022,A Badoni,7,12.2,155.63769563769566,19.142857142857142,4
2022,A Badoni,8,9.2,146.4069264069264,17.25,15
2022,A Badoni,9,10.2,95.52973342447027,17.0,8
2022,A Badoni,10,10.8,94.5773524720893,16.1,0
2023,A Badoni,11,8.2,74.5773524720893,14.636363636363637,18
2023,A Badoni,12,9.0,89.12280701754386,14.916666666666666,23
2023,A Badoni,13,12.8,93.33333333333333,15.538461538461538,30
2023,A Badoni,14,15.8,98.2335148215366,16.571428571428573,5
2023,A Badoni,15,15.2,99.18589577391757,15.8,1
2023,A Badoni,16,15.4,104.18589577391757,14.875,8
2023,A Badoni,17,13.4,90.85256244058421,14.470588235294118,43
2023,A Badoni,18,17.4,101.04203612479473,16.055555555555557,4
2023,A Badoni,19,12.2,87.62510822510822,15.421052631578947,59
2023,A Badoni,20,23.0,107.05367965367964,17.6,21
2023,A Badoni,21,27.0,137.05367965367964,17.761904761904763,25
2023,A Badoni,22,30.4,133.11428571428573,18.09090909090909,1
2024,A Badoni,23,22.0,101.57142857142858,17.347826086956523,1
2024,A Badoni,24,21.4,98.2987012987013,16.666666666666668,8
2024,A Badoni,25,11.2,80.5844155844156,16.32,0
2024,A Badoni,26,7.0,45.58441558441559,15.692307692307692,20
2024,A Badoni,27,6.0,56.19047619047619,15.851851851851851,55
2024,A Badoni,28,16.8,82.28070175438597,17.25,29
2024,A Badoni,29,22.4,99.76218323586745,17.655172413793103,18
2024,A Badoni,30,24.4,107.76218323586745,17.666666666666668,6
2024,A Badoni,31,25.6,127.76218323586745,17.29032258064516,15
2024,A Badoni,32,24.6,117.50577297945719,17.21875,55
2024,A Badoni,33,24.6,122.93340455840458,18.363636363636363,6
2024,A Badoni,34,20.0,114.7852564102564,18.0,22
2009,A Chopra,5,8.4,59.977777777777774,8.4,11
2009,A Kumble,5,2.8,72.57142857142858,2.8,1
2009,A Kumble,6,2.4,84.0,2.5,5
2009,A Kumble,7,3.4,117.33333333333334,2.857142857142857,1
2009,A Kumble,8,2.0,102.33333333333334,2.625,7
2009,A Kumble,9,3.0,85.66666666666667,3.111111111111111,1
2009/10,A Kumble,10,3.0,101.66666666666667,2.9,1
2009/10,A Kumble,11,3.0,101.66666666666667,2.727272727272727,1
