player,venue,venue_runs_avg,venue_strike_rate_avg
A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,14.0,165.97222222222223
A Ashish Reddy,Eden Gardens,4.0,80.0
A Ashish Reddy,Feroz Shah Kotla,16.0,177.77777777777777
A Ashish Reddy,M Chinnaswamy Stadium,17.5,126.38888888888889
A Ashish Reddy,"MA Chidambaram Stadium, Chepauk",19.5,162.5
A Ashish Reddy,Maharashtra Cricket Association Stadium,19.0,126.66666666666666
A Ashish Reddy,"Punjab Cricket Association Stadium, Mohali",22.0,275.0
A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",8.454545454545455,124.31818181818181
A Ashish Reddy,Sawai Mansingh Stadium,14.0,127.27272727272728
A Ashish Reddy,Wankhede Stadium,10.0,100.0
A Badoni,"Arun Jaitley Stadium, Delhi",6.0,66.66666666666666
A Badoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",22.11764705882353,133.08525581745397
A Badoni,"Brabourne Stadium, Mumbai",9.5,105.55555555555556
A Badoni,"Dr DY Patil Sports Academy, Mumbai",14.0,197.22222222222226
A Badoni,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4.0,80.0
A Badoni,"Eden Gardens, Kolkata",27.0,113.22751322751323
A Badoni,"Himachal Pradesh Cricket Association Stadium, Dharamsala",74.0,185.0
A Badoni,"M Chinnaswamy Stadium, Bengaluru",15.0,62.5
A Badoni,"MA Chidambaram Stadium, Chepauk, Chennai",12.0,71.03174603174602
A Badoni,"Maharashtra Cricket Association Stadium, Pune",9.0,85.35353535353535
A Badoni,"Narendra Modi Stadium, Ahmedabad",21.0,190.9090909090909
A Badoni,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",43.0,186.95652173913044
A Badoni,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",30.5,141.66666666666663
A Badoni,"Sawai Mansingh Stadium, Jaipur",17.333333333333332,64.01960784313725
A Badoni,"Wankhede Stadium, Mumbai",26.0,141.8999049730757
A Manohar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",7.5,84.54545454545453
A Manohar,"Dr DY Patil Sports Academy, Mumbai",26.666666666666668,123.41269841269843
A Manohar,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4.0,66.66666666666666
A Manohar,"Maharashtra Cricket Association Stadium, Pune",6.5,75.0
A Manohar,"Narendra Modi Stadium, Ahmedabad",23.4,143.72460872460871
A Manohar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",15.0,49.84984984984984
A Manohar,"Sawai Mansingh Stadium, Jaipur",1.0,50.0
A Manohar,"Wankhede Stadium, Mumbai",5.666666666666667,93.65079365079366
A Mishra,Arun Jaitley Stadium,3.5,62.5
A Mishra,Barabati Stadium,0.5,50.0
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19.0,63.33333333333333
A Mishra,Brabourne Stadium,6.5,54.166666666666664
A Mishra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2.0,67.5
A Mishra,Eden Gardens,10.2,107.375
A Mishra,Feroz Shah Kotla,7.0,105.56832056832057
A Mishra,Green Park,8.0,400.0
A Mishra,Kingsmead,2.0,66.66666666666666
A Mishra,M.Chinnaswamy Stadium,8.0,57.14285714285714
A Mishra,MA Chidambaram Stadium,8.0,72.72727272727273
A Mishra,"MA Chidambaram Stadium, Chepauk",7.0,70.47619047619048
A Mishra,Maharashtra Cricket Association Stadium,30.0,125.0
A Mishra,Nehru Stadium,0.0,0.0
A Mishra,New Wanderers Stadium,11.0,137.5
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali",4.0,44.44444444444444
A Mishra,"Rajiv Gandhi International Stadium, Uppal",7.142857142857143,80.93984962406014
A Mishra,"Sardar Patel Stadium, Motera",0.0,0.0
A Mishra,Sawai Mansingh Stadium,12.5,77.5
A Mishra,Sharjah Cricket Stadium,4.0,80.0
A Mishra,SuperSport Park,4.333333333333333,108.33333333333333
A Mishra,Wankhede Stadium,7.0,118.8888888888889
A Symonds,Barabati Stadium,44.0,142.6535087719298
A Symonds,Brabourne Stadium,21.0,116.66666666666669
A Symonds,De Beers Diamond Oval,45.0,164.66165413533832
