player,opponent,vs_opponent_runs_avg,vs_opponent_strike_rate_avg
A Ashish Reddy,Chennai Super Kings,15.0,141.66666666666666
A Ashish Reddy,Delhi Daredevils,12.0,149.53703703703704
A Ashish Reddy,Kings XI Punjab,12.333333333333334,158.33333333333334
A Ashish Reddy,Kolkata Knight Riders,8.5,121.25
A Ashish Reddy,Mumbai Indians,13.5,106.66666666666666
A Ashish Reddy,Pune Warriors,13.0,150.83333333333331
A Ashish Reddy,Rajasthan Royals,12.333333333333334,173.9057239057239
A Ashish Reddy,Royal Challengers Bangalore,11.0,107.22222222222221
A Badoni,Chennai Super Kings,30.75,163.79419191919192
A Badoni,Delhi Capitals,21.5,177.61904761904762
A Badoni,Gujarat Titans,23.166666666666668,141.74919931017493
A Badoni,Kolkata Knight Riders,21.0,108.69708994708995
A Badoni,Mumbai Indians,18.0,129.75734791524266
A Badoni,Punjab Kings,29.166666666666668,126.588713219148
A Badoni,Rajasthan Royals,12.5,66.99148890325361
A Badoni,Royal Challengers Bangalore,15.666666666666666,87.12121212121212
A Badoni,Royal Challengers Bengaluru,0.0,0.0
A Badoni,Sunrisers Hyderabad,20.75,125.41666666666666
A Manohar,Chennai Super Kings,12.0,100.0
A Manohar,Delhi Capitals,9.75,63.149350649350644
A Manohar,Kolkata Knight Riders,8.0,112.5
A Manohar,Lucknow Super Giants,6.666666666666667,102.53968253968253
A Manohar,Mumbai Indians,29.0,127.62762762762763
A Manohar,Rajasthan Royals,17.75,102.81593406593407
A Manohar,Royal Challengers Bengaluru,12.0,109.09090909090908
A Manohar,Sunrisers Hyderabad,17.5,83.33333333333334
A Mishra,Chennai Super Kings,7.25,112.08198051948052
A Mishra,Deccan Chargers,1.5,27.777777777777775
A Mishra,Delhi Daredevils,11.0,111.53846153846155
A Mishra,Gujarat Lions,8.0,400.0
A Mishra,Kings XI Punjab,4.5,72.4074074074074
A Mishra,Kochi Tuskers Kerala,0.0,0.0
A Mishra,Kolkata Knight Riders,7.75,104.609375
A Mishra,Mumbai Indians,8.8,106.7531328320802
A Mishra,Pune Warriors,15.0,62.5
A Mishra,Rajasthan Royals,4.285714285714286,46.904761904761905
A Mishra,Rising Pune Supergiant,13.0,144.44444444444443
A Mishra,Royal Challengers Bangalore,9.0,86.36904761904762
A Mishra,Sunrisers Hyderabad,1.0,50.0
A Symonds,Chennai Super Kings,32.75,115.6956415677346
A Symonds,Deccan Chargers,26.0,87.71929824561403
A Symonds,Delhi Daredevils,28.333333333333332,144.08411033411033
A Symonds,Kings XI Punjab,22.0,118.14894378804152
A Symonds,Kolkata Knight Riders,25.0,102.30711480711481
A Symonds,Mumbai Indians,11.0,66.66666666666667
A Symonds,Pune Warriors,9.5,103.33333333333334
A Symonds,Rajasthan Royals,40.2,136.87391555812607
A Symonds,Royal Challengers Bangalore,25.0,123.59523809523807
AB de Villiers,Chennai Super Kings,21.28,111.50096453254348
AB de Villiers,Deccan Chargers,21.857142857142858,102.60966857605513
AB de Villiers,Delhi Capitals,29.833333333333332,131.8269632414369
AB de Villiers,Delhi Daredevils,45.44444444444444,177.3565366702622
AB de Villiers,Gujarat Lions,58.25,147.8702070770281
AB de Villiers,Kings XI Punjab,33.80952380952381,147.22352308175564
AB de Villiers,Kochi Tuskers Kerala,54.0,135.0
AB de Villiers,Kolkata Knight Riders,24.857142857142858,121.49428529223925
AB de Villiers,Mumbai Indians,32.958333333333336,138.1251314104632
AB de Villiers,Pune Warriors,29.8,239.12111801242236
AB de Villiers,Punjab Kings,13.0,80.55555555555554
