player,match_id,date,team,opponent,venue,city,season,runs,balls_faced,boundaries,got_out,innings,strike_rate,batting_first,target_runs,target_balls_faced,target_strike_rate,next_opponent,next_venue,runs_last_3,runs_last_5,runs_last_10,balls_faced_last_3,balls_faced_last_5,balls_faced_last_10,strike_rate_last_3,strike_rate_last_5,strike_rate_last_10,boundaries_last_3,boundaries_last_5,boundaries_last_10,career_runs,career_matches,career_avg_runs,career_total_balls,career_strike_rate,career_boundaries,career_boundary_percentage,career_dismissals,venue_runs_avg,venue_strike_rate_avg,venue_matches_played,venue_familiar,vs_opponent_runs_avg,vs_opponent_strike_rate_avg,vs_opponent_matches,is_home_match,days_since_last_match,season_matches,form_indicator,performance_trend,runs_std_last_10,consistency_score,boundary_dependency,momentum_score,experience_level
ST Jayasuriya,419150,2010-04-11,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2009/10,1,2,0,1,1,50.0,1,0.0,0.0,0.0,unknown,unknown,10.666666666666666,12.4,16.8,9.666666666666666,9.2,15.0,91.4285714285714,92.35714285714286,89.86947828226899,1.6666666666666667,2.0,2.3,767.0,29,26.448275862068964,527.0,145.54079696394686,123.0,23.33965844402277,28.0,63.66666666666666,239.5833333333333,3.0,1,41.0,138.88339647787322,4.0,0,22.0,3,-12.942601855360476,-3.8133333333333326,16.67199914693961,0.0117358590922844,0.253416149068323,15.097333333333333,intermediate
ML Hayden,419165,2010-04-25,Chennai Super Kings,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,2009/10,17,31,2,1,1,54.83870967741935,1,0.0,0.0,0.0,unknown,unknown,4.666666666666667,6.6,15.3,7.333333333333333,8.4,13.4,57.129629629629626,55.38888888888889,93.9847670250896,1.0,1.2,2.2,1090.0,31,35.16129032258065,768.0,141.92708333333331,163.0,21.223958333333336,27.0,0.0,0.0,0.0,0,39.2,132.6315789473684,5.0,0,3.0,15,-21.289262260830675,-10.466666666666665,12.454807193297766,0.22569609664338905,0.4541176470588235,15.398666666666667,intermediate
VVS Laxman,501225,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2011,8,10,1,0,1,80.0,1,0.0,0.0,0.0,unknown,unknown,14.0,11.2,10.4,13.333333333333334,11.8,10.3,65.07936507936508,67.14285714285714,82.48051948051948,1.6666666666666667,1.2,1.2,274.0,19,14.421052631578949,256.0,107.03125,37.0,14.453125,16.0,0.0,0.0,0.0,0,28.5,84.0909090909091,2.0,0,11.0,2,-3.628654970760234,1.2733333333333334,11.107554986484544,0.0486473172210995,0.32222222222222224,10.710666666666667,rookie
GC Smith,501241,2011-05-04,Pune Warriors,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,2011,6,12,1,1,2,50.0,0,0.0,0.0,0.0,unknown,unknown,12.0,16.0,15.0,13.0,15.6,15.9,61.90476190476189,81.95569136745607,72.49299719887956,1.6666666666666667,2.4,2.1,733.0,28,26.178571428571427,652.0,112.4233128834356,102.0,15.644171779141104,29.0,0.0,0.0,0.0,0,42.0,97.03282828282828,3.0,0,17.0,3,-13.132326821326822,-5.293333333333334,11.21506922750713,0.05046574363323828,0.5,15.117333333333331,intermediate
MV Boucher,501255,2011-05-14,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2011,1,2,0,0,1,50.0,1,0.0,0.0,0.0,unknown,unknown,6.0,6.6,10.7,4.666666666666667,5.6,8.7,116.26984126984124,111.42857142857142,107.2041847041847,0.3333333333333333,0.6,0.8,393.0,22,17.863636363636363,305.0,128.85245901639342,45.0,14.754098360655735,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9.0,1,-8.266444900129112,-7.526666666666666,13.614126650080948,0.06564517175265058,0.23272727272727273,9.914666666666665,intermediate
A Symonds,501256,2011-05-14,Mumbai Indians,Deccan Chargers,Wankhede Stadium,Mumbai,2011,8,19,0,1,2,42.10526315789473,0,0.0,0.0,0.0,unknown,unknown,5.0,7.2,15.2,4.333333333333333,9.0,14.9,111.1111111111111,93.07692307692308,95.4160839160839,0.3333333333333333,0.4,1.5,966.0,36,26.83333333333333,726.0,133.05785123966942,115.0,15.84022038567493,25.0,13.75,98.14102564102564,4.0,1,30.75,148.24404761904762,4.0,1,4.0,8,-10.975103450471098,-6.179999999999999,14.02220461347724,0.14670959851157242,0.1,16.044,intermediate
SK Warne,501258,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,Holkar Cricket Stadium,Indore,2011,2,9,0,1,1,22.22222222222222,1,0.0,0.0,0.0,unknown,unknown,2.6666666666666665,2.4,3.6,3.6666666666666665,3.8,5.9,72.22222222222223,63.33333333333335,58.58784893267652,0.3333333333333333,0.2,0.2,196.0,27,7.2592592592592595,204.0,96.07843137254902,20.0,9.803921568627452,18.0,0.0,0.0,0.0,0,3.0,33.33333333333333,1.0,0,6.0,3,-5.7429064783847386,-2.7266666666666666,5.337498373666154,0.0,0.16,2.6146666666666665,intermediate
JR Hopes,501257,2011-05-15,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,2011,7,7,1,1,2,100.0,0,0.0,0.0,0.0,unknown,unknown,26.666666666666668,21.0,24.2,20.0,18.0,19.0,142.77777777777774,159.23809523809524,155.69047619047618,4.0,2.8,3.2,410.0,19,21.57894736842105,298.0,137.58389261744966,59.0,19.798657718120804,16.0,1.0,20.0,2.0,0,16.0,133.55263157894737,2.0,0,3.0,8,3.253048061329796,3.9666666666666672,20.810253882801785,0.07175640268251773,0.4871912401324166,24.133333333333333,rookie
S Sohal,501259,2011-05-16,Deccan Chargers,Pune Warriors,Dr DY Patil Sports Academy,Mumbai,2011,34,28,4,1,2,121.42857142857142,0,0.0,0.0,0.0,unknown,unknown,15.333333333333334,20.6,21.8,14.333333333333334,15.4,17.1,73.63636363636364,86.5151515151515,102.93508253264352,1.6666666666666667,3.0,3.1,334.0,19,17.57894736842105,261.0,127.96934865900384,48.0,18.39080459770115,17.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,9,6.007870657034745,1.4733333333333338,23.169903850565376,0.0,0.40928248222365865,22.638666666666666,rookie
M Kaif,548324,2012-04-15,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,2012,14,16,1,1,2,87.5,0,0.0,0.0,0.0,unknown,unknown,11.0,9.8,9.4,9.333333333333334,8.2,8.8,108.91608391608392,117.34965034965036,103.66724941724942,1.3333333333333333,1.2,0.9,245.0,21,11.666666666666666,233.0,105.15021459227466,27.0,11.587982832618025,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,90.0,0,-2.212046783625731,-0.8933333333333332,4.993328882953067,0.37422539742022687,0.3704761904761905,9.357333333333333,intermediate
