player,venue,venue_wickets_avg,venue_economy_avg
A Ashish Reddy,Barabati Stadium,1.0,10.666666666666666
A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0.5,6.25
A Ashish Reddy,Eden Gardens,1.0,7.5
A Ashish Reddy,M Chinnaswamy Stadium,0.5,11.40909090909091
A Ashish Reddy,"MA Chidambaram Stadium, Chepauk",0.5,15.25
A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",1.25,9.125
A Ashish Reddy,Subrata Roy Sahara Stadium,2.0,8.0
A Ashish Reddy,Wankhede Stadium,1.0,5.076923076923077
A Kumble,Brabourne Stadium,1.0,4.5
A Kumble,Dr DY Patil Sports Academy,2.5,6.035714285714286
A Kumble,Eden Gardens,0.5,5.875
A Kumble,Feroz Shah Kotla,1.0,8.25
A Kumble,Kingsmead,1.75,4.5
A Kumble,M Chinnaswamy Stadium,0.9166666666666666,7.553985507246377
A Kumble,"MA Chidambaram Stadium, Chepauk",2.0,3.75
A Kumble,New Wanderers Stadium,1.5,6.625
A Kumble,Newlands,2.5,5.6644736842105265
A Kumble,"Punjab Cricket Association Stadium, Mohali",0.5,8.625
A Kumble,"Rajiv Gandhi International Stadium, Uppal",1.0,8.25
A Kumble,Sawai Mansingh Stadium,0.5,7.5
A Kumble,St George's Park,0.0,6.666666666666667
A Kumble,SuperSport Park,1.3333333333333333,6.25
A Kumble,"Vidarbha Cricket Association Stadium, Jamtha",1.0,6.75
A Mishra,Arun Jaitley Stadium,1.4615384615384615,7.166666666666667
A Mishra,Barabati Stadium,0.6666666666666666,5.805555555555556
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1.5,6.8125
A Mishra,Brabourne Stadium,0.0,10.125
A Mishra,Buffalo Park,0.0,5.0
A Mishra,Dr DY Patil Sports Academy,2.0,6.5
A Mishra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0.6666666666666666,6.583333333333333
A Mishra,Dubai International Cricket Stadium,0.0,9.583333333333334
A Mishra,Eden Gardens,0.5714285714285714,7.309523809523809
A Mishra,Feroz Shah Kotla,1.28125,7.579390802373581
A Mishra,Green Park,1.0,13.5
A Mishra,Himachal Pradesh Cricket Association Stadium,4.0,2.25
A Mishra,Kingsmead,0.0,8.75
A Mishra,M Chinnaswamy Stadium,1.0,7.979166666666666
A Mishra,"M Chinnaswamy Stadium, Bengaluru",1.0,9.0
A Mishra,M.Chinnaswamy Stadium,0.0,16.0
A Mishra,MA Chidambaram Stadium,0.0,5.333333333333333
A Mishra,"MA Chidambaram Stadium, Chepauk",1.4,7.0666666666666655
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",1.6666666666666667,7.423669467787114
A Mishra,Maharashtra Cricket Association Stadium,2.25,6.104166666666667
A Mishra,"Narendra Modi Stadium, Ahmedabad",1.0,9.0
A Mishra,Nehru Stadium,1.0,3.0
A Mishra,New Wanderers Stadium,1.5,5.75
A Mishra,OUTsurance Oval,3.0,8.25
A Mishra,Punjab Cricket Association IS Bindra Stadium,0.0,11.5
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali",0.0,9.125
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0,11.5
A Mishra,"Punjab Cricket Association Stadium, Mohali",0.6666666666666666,8.694444444444445
A Mishra,Rajiv Gandhi International Stadium,1.0,4.541666666666666
A Mishra,"Rajiv Gandhi International Stadium, Uppal",1.2916666666666667,7.394444444444445
A Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1.0,10.0
A Mishra,"Sardar Patel Stadium, Motera",1.0,5.875
A Mishra,Saurashtra Cricket Association Stadium,1.0,6.333333333333334
A Mishra,Sawai Mansingh Stadium,1.25,9.215686274509803
A Mishra,"Sawai Mansingh Stadium, Jaipur",0.0,7.5
