player,match_id,date,team,opponent,venue,city,season,runs_conceded,balls_bowled,wickets,innings,economy,overs_bowled,bowling_first,target_wickets,target_runs_conceded,target_economy,next_opponent,next_venue,wickets_last_3,wickets_last_5,wickets_last_10,runs_conceded_last_3,runs_conceded_last_5,runs_conceded_last_10,economy_last_3,economy_last_5,economy_last_10,balls_bowled_last_3,balls_bowled_last_5,balls_bowled_last_10,career_wickets,career_matches,career_avg_wickets,career_runs_conceded,career_balls_bowled,career_economy,career_bowling_avg,venue_wickets_avg,venue_economy_avg,venue_matches_played,venue_familiar,vs_opponent_wickets_avg,vs_opponent_economy_avg,vs_opponent_matches,is_home_match,days_since_last_match,season_matches,form_indicator,performance_trend,wickets_std_last_10,consistency_score,wicket_taking_rate,momentum_score,experience_level
MF Maharoof,419149,2010-04-11,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,2009/10,16,12,0,2,8.0,2.0,0,0.0,0.0,0.0,unknown,unknown,1.3333333333333333,1.4,1.7,23.666666666666668,30.6,28.9,7.111111111111111,8.366666666666665,7.808333333333333,20.0,21.6,21.6,33.0,19,1.736842105263158,504.0,408.0,7.411764705882353,15.272727272727272,0.0,0.0,0.0,0,2.0,3.875,2.0,1,4.0,6,-0.1330056759545923,-0.10666666666666673,1.1595018087284057,0.3422429527839622,0.45,1.7386666666666666,rookie
ST Jayasuriya,419150,2010-04-11,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2009/10,16,12,0,2,8.0,2.0,0,0.0,0.0,0.0,unknown,unknown,1.0,1.2,0.8,17.333333333333332,16.0,15.2,10.416666666666666,9.35,8.55,14.0,12.0,11.4,16.0,20,0.8,374.0,282.0,7.957446808510639,23.375,0.0,0.0,0.0,0,0.5,9.875,2.0,0,22.0,3,0.17169332645338836,0.24666666666666653,1.2292725943057183,0.0,0.6900000000000001,0.9853333333333334,rookie
A Kumble,419164,2010-04-24,Royal Challengers Bangalore,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai,2009/10,16,21,4,1,4.571428571428571,3.5,1,0.0,0.0,0.0,unknown,unknown,0.6666666666666666,0.8,0.8,32.0,28.0,29.0,8.0,7.0,7.25,24.0,24.0,24.0,45.0,41,1.0975609756097562,1042.0,944.0,6.622881355932204,23.155555555555555,0.0,0.0,0.0,0,2.4,4.685354691075515,5.0,0,3.0,15,-0.23336783213548298,-0.18,0.421637021355784,0.283772233983162,0.22000000000000003,0.86,intermediate
A Symonds,501246,2011-05-07,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai,2011,23,12,0,2,11.5,2.0,0,0.0,0.0,0.0,unknown,unknown,0.3333333333333333,0.4,0.5,11.666666666666666,12.2,18.5,7.888888888888888,6.433333333333333,7.45,10.0,13.2,15.6,23.0,29,0.7931034482758621,651.0,515.0,7.584466019417476,28.30434782608696,1.0,11.0,1.0,0,1.25,7.333333333333333,4.0,1,3.0,2,-0.34310013613461887,-0.15999999999999998,0.5270462766947303,0.0,0.18333333333333332,0.45599999999999996,intermediate
JR Hopes,501257,2011-05-15,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,2011,27,18,0,1,9.0,3.0,1,0.0,0.0,0.0,unknown,unknown,0.6666666666666666,0.8,0.9,30.0,28.0,29.4,9.63888888888889,8.283333333333333,8.733333333333333,18.0,20.4,20.4,14.0,19,0.7368421052631579,521.0,342.0,9.140350877192985,37.21428571428572,0.0,8.25,2.0,0,0.0,10.5,2.0,0,3.0,8,0.16746818025455795,-0.006666666666666721,0.5676462121975466,0.356128604337857,0.23999999999999994,0.9306666666666666,rookie
SK Warne,501263,2011-05-20,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai,2011,30,24,1,1,7.5,4.0,1,0.0,0.0,0.0,unknown,unknown,0.6666666666666666,0.8,1.1,24.666666666666668,23.6,24.6,6.555555555555556,6.133333333333334,6.266666666666667,22.0,22.8,23.4,59.0,53,1.1132075471698113,1417.0,1170.0,7.266666666666666,24.016949152542374,2.0,5.25,1.0,0,1.3333333333333333,5.791666666666667,6.0,0,9.0,11,0.034180727152980185,-0.07333333333333335,0.8755950357709129,0.1728781895464846,0.29,1.1093333333333333,experienced
DE Bollinger,548332,2012-04-21,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai,2012,31,24,1,1,7.75,4.0,1,0.0,0.0,0.0,unknown,unknown,1.6666666666666667,1.8,1.4,24.0,25.2,28.4,9.0,9.020066889632108,8.693366778149386,16.0,16.8,19.8,42.0,26,1.6153846153846154,662.0,552.0,7.195652173913043,15.761904761904765,2.0,7.5,1.0,0,0.6666666666666666,7.611111111111112,3.0,1,2.0,5,-0.15933120502685721,0.26,1.173787790777267,0.1515520669004709,0.4753734671125976,1.5,intermediate
A Singh,548349,2012-05-01,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Jaipur,2012,12,6,0,2,12.0,1.0,0,0.0,0.0,0.0,unknown,unknown,0.6666666666666666,1.2,1.4,47.0,42.6,35.8,11.75,10.743478260869566,9.496739130434785,24.0,23.8,22.7,31.0,22,1.4090909090909092,608.0,467.0,7.811563169164883,19.61290322580645,1.0,10.0,1.0,0,4.0,4.75,1.0,1,2.0,8,0.10672818409660514,-0.026666666666666637,0.8432740427115679,0.3849702343833723,0.4034782608695652,1.4066666666666667,intermediate
DL Vettori,548350,2012-05-02,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,2012,29,24,1,2,7.25,4.0,0,0.0,0.0,0.0,unknown,unknown,0.3333333333333333,0.6,0.8,24.33333333333333,25.4,26.0,6.083333333333333,6.35,6.683333333333335,24.0,24.0,23.4,33.0,33,1.0,850.0,753.0,6.772908366533866,25.75757575757576,0.0,0.0,0.0,0,0.6666666666666666,7.166666666666667,3.0,1,4.0,8,-0.433578049684835,-0.3866666666666667,0.9189365834726816,0.03838948145027152,0.15999999999999998,0.6306666666666667,intermediate
RR Powar,548359,2012-05-08,Kings XI Punjab,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012,32,18,0,2,10.666666666666666,3.0,0,0.0,0.0,0.0,unknown,unknown,0.6666666666666666,0.4,0.5,25.33333333333333,22.4,23.4,10.25,10.15,8.575,16.0,14.4,18.0,15.0,26,0.5769230769230769,495.0,408.0,7.279411764705882,33.0,0.0,9.333333333333334,1.0,0,0.0,8.0,1.0,0,90.0,0,0.05672342150603018,0.10666666666666665,0.7071067811865476,0.0,0.18,0.6373333333333333,intermediate
